run,ABC,GWO,FA,PSO,GA,ACO
0,-52.07468,-58.34093,-24.17356,-23.08662,-23.34474,-26.86782
1,-54.33709,-58.44616,-25.04538,-26.86356,-26.84085,-26.86398
2,-52.47412,-28.82526,-24.31895,-49.45104,-52.6797,-26.86703
3,-52.8973,-32.22153,-24.17485,-26.84078,-56.55881,-26.8753
4,-54.05116,-57.38968,-28.32428,-57.75359,-52.86063,-26.869
5,-50.65879,-36.61686,-24.68434,-26.85129,-23.42146,-26.86777
6,-56.26251,-57.8204,8.42248,-57.65838,-51.96292,-26.8673
7,-54.67026,-26.84949,-28.38781,-26.85328,-26.82531,-26.86604
8,-50.21731,-57.44339,-43.16666,-26.867,-26.65052,-26.86754
9,-57.71703,-57.96458,-34.849,-12.10374,-54.16383,-26.87033
10,-54.53329,-32.6221,-29.6413,-56.88921,-26.79231,-26.86612
11,-52.46079,-31.17547,-24.64181,-26.82822,-26.80036,-26.86545
12,-56.24752,-31.47957,-23.93744,-26.8528,-23.63848,-26.86745
13,-57.21229,-29.38453,-25.02531,-26.85146,-26.80366,-26.87035
14,-51.96528,-26.86508,-23.58834,-26.76512,-26.84336,-26.87635
15,-55.89499,-58.02242,-43.71558,-26.82598,-26.82071,-26.86794
16,-49.92197,-32.46672,-20.64982,-23.10285,-54.68274,-26.86838
17,-52.72739,-31.75549,-56.44321,-56.99492,-57.73236,-26.86791
18,-55.08954,-58.36633,-27.89944,-57.08603,-53.00536,-57.58951
19,-52.07164,-29.38861,-57.9044,-26.84427,-26.83566,-26.90094
20,-55.92748,-58.24283,-24.4916,-26.86409,-51.12419,-26.86667
21,-52.27657,-26.88127,-24.22143,-26.84628,-26.799,-26.86632
22,-54.3445,-31.63005,-30.6515,-56.51807,-54.3686,-26.86836
23,-52.60302,-58.53763,-24.22592,-26.8461,-26.80368,-26.86829
24,-54.38339,-57.88907,-20.81034,-55.0595,-56.94627,-26.86581
25,-54.92141,-30.13826,-24.16272,-26.81295,-53.62786,-26.86761
26,-55.93698,-26.85212,-24.31327,-26.8629,-23.47391,-26.86748
27,-54.07728,-58.492,-39.04953,-26.83064,-49.33807,-26.86832
28,-54.20111,-57.762,-25.0221,-26.85069,-55.21672,-26.86875
29,-52.69725,-58.00962,-19.45065,-57.59146,-51.75508,-26.86572
