case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_core,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_core,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
banba,SKY130-BGR-banba,7,0,312345,ABC,40,-52.07468,52.07468,0,1,0.8019694,17.14794,45.893,60.93000000000001,20.4118,142.3553,0,0,0,0,0,0,33.0,1,-52.07468,52.07468,0.8019694,17.14794,45.893,60.93000000000001,20.4118,142.3553,49205.80652649701,150000,150000,108479.0,-49.37293664924433,150001,149215,measure_failed=275;no_convergence=511,0,PSRR_worst_case_10Hz_10MHz,52.07468,52.07468,52.07468,52.07468,1,1.225,1.0,14.825,8.95,0.945,40.0,1.342583770484542,1.225,1.0,14.825,8.95,0.945,40.0,1.342583770484542,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,1,313345,ABC,40,-54.33709,54.33709,0,1,0.800655,21.58536,44.3961,63.758,20.1558,106.1927,0,0,0,0,0,0,230.0,1,-54.33709,54.33709,0.800655,21.58536,44.3961,63.758,20.1558,106.1927,48834.73510212824,150000,150000,143008.0,-50.4922806351909,150001,149045,measure_failed=249;no_convergence=707,0,PSRR_worst_case_10Hz_10MHz,54.33709,54.33709,54.33709,54.33709,1,1.27,1.0,9.725,7.13,0.76,27.45270587680877,1.4945759895965272,1.27,1.0,9.725,7.13,0.76,27.45270587680877,1.4945759895965272,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,2,314345,ABC,40,-52.47412,52.47412,0,1,0.801359,17.00067,47.5725,60.724,20.2694,111.6679,0,0,0,0,0,0,1.0,1,-52.47412,52.47412,0.801359,17.00067,47.5725,60.724,20.2694,111.6679,48210.00867208093,150000,150000,1960.0,-52.396187055280365,150001,149266,measure_failed=334;no_convergence=401,0,PSRR_worst_case_10Hz_10MHz,52.47412,52.47412,52.47412,52.47412,1,1.44,1.005,12.225,9.795,0.88,29.34987122013125,1.3804866700048517,1.44,1.005,12.225,9.795,0.88,29.34987122013125,1.3804866700048517,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,3,315345,ABC,40,-52.8973,52.8973,0,1,0.801639,16.21602,46.0114,60.366,20.1353,142.3491,0,0,0,0,0,0,512.0,1,-52.8973,52.8973,0.801639,16.21602,46.0114,60.366,20.1353,142.3491,49442.93489115313,150000,150000,65871.0,-45.7530989206558,150001,148604,measure_failed=211;no_convergence=1186,0,PSRR_worst_case_10Hz_10MHz,52.8973,52.8973,52.8973,52.8973,1,1.31,1.0,17.0,10.145,0.89,40.0,1.3766697976910256,1.31,1.0,17.0,10.145,0.89,40.0,1.3766697976910256,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,4,316345,ABC,40,-54.05116,54.05116,0,1,0.8004347,25.27793,45.1595,65.354,20.1233,81.54256,0,0,0,0,0,0,358.0,1,-54.05116,54.05116,0.8004347,25.27793,45.1595,65.354,20.1233,81.54256,54480.61719910428,150000,150000,14443.0,-49.75628031076874,150001,149023,measure_failed=271;no_convergence=707,0,PSRR_worst_case_10Hz_10MHz,54.05116,54.05116,54.05116,54.05116,1,1.38,1.05,5.7,6.515,0.7100000000000001,18.8935438821184,1.5139191866522068,1.38,1.05,5.7,6.515,0.7100000000000001,18.8935438821184,1.5139191866522068,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,5,317345,ABC,40,-50.65879,50.65879,0,1,0.8017887,22.20036,47.9704,60.285,21.073,118.1925,0,0,0,0,0,0,240.0,1,-50.65879,50.65879,0.8017887,22.20036,47.9704,60.285,21.073,118.1925,47196.939318194985,150000,150000,68267.0,-48.06977284016893,150001,149388,measure_failed=198;no_convergence=414;timeout=1,0,PSRR_worst_case_10Hz_10MHz,50.65879,50.68281,50.65879,50.68281,1,1.38,1.0,12.75,9.34,1.03,31.61436453843882,1.309463928924541,1.38,1.0,12.75,9.34,1.03,31.61436453843882,1.309463928924541,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,6,318345,ABC,40,-56.26251,56.26251,0,1,0.8007517,23.84199,41.6929,67.541,20.3076,115.5481,0,0,0,0,0,0,9.0,1,-56.26251,56.26251,0.8007517,23.84199,41.6929,67.541,20.3076,115.5481,47957.85233471543,150000,150000,99025.0,-52.79617364753765,150001,149101,measure_failed=254;no_convergence=646,0,PSRR_worst_case_10Hz_10MHz,56.26251,56.26251,56.26251,56.26251,1,1.0,1.155,8.955,5.58,0.7000000000000001,30.69750705937352,1.4976336943570197,1.0,1.155,8.955,5.58,0.7000000000000001,30.69750705937352,1.4976336943570197,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,7,319345,ABC,40,-54.67026,54.67026,0,1,0.801472,15.5222,42.9772,64.577,20.3005,142.3495,0,0,0,0,0,0,70.0,1,-54.67026,54.67026,0.801472,15.5222,42.9772,64.577,20.3005,142.3495,56978.9007255286,150000,150000,3801.0,-52.5587066098764,150001,148933,measure_failed=261;no_convergence=807,0,PSRR_worst_case_10Hz_10MHz,54.67026,54.67026,54.67026,54.67026,1,1.0,1.0,12.73,6.635,0.805,40.0,1.429272563366619,1.0,1.0,12.73,6.635,0.805,40.0,1.429272563366619,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,8,320345,ABC,40,-50.21731,50.21731,0,1,0.8019753,19.37867,46.291,61.538,21.218,129.5217,0,0,0,0,0,0,11.0,1,-50.21731,50.21731,0.8019753,19.37867,46.291,61.538,21.218,129.5217,48966.509668678045,150000,150000,58903.0,-49.217392338382254,150001,148795,measure_failed=325;no_convergence=867;timeout=14,1,PSRR_worst_case_10Hz_10MHz,50.21731,50.21731,50.21731,50.21731,1,1.145,1.355,12.585,7.98,1.02,35.545850623587214,1.2910787016141452,1.145,1.355,12.585,7.98,1.02,35.545850623587214,1.2910787016141452,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,9,321345,ABC,40,-57.71703,57.71703,0,1,0.800706,25.96194,42.1366,68.414,20.2335,104.6179,0,0,0,0,0,0,17.0,1,-57.71703,57.71703,0.800706,25.96194,42.1366,68.414,20.2335,104.6179,59193.58455155045,150000,150000,98475.0,-53.32198538586924,150001,149056,measure_failed=206;no_convergence=734;timeout=5,0,PSRR_worst_case_10Hz_10MHz,57.71703,57.74066,57.71703,57.74066,1,1.0,1.035,7.415,5.45,0.68,26.901243828274406,1.4914455336197292,1.0,1.035,7.415,5.45,0.68,26.901243828274406,1.4914455336197292,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,10,322345,ABC,40,-54.53329,54.53329,0,1,0.8003625,25.15603,45.0331,64.175,20.0233,93.16836,0,0,0,0,0,0,119.0,1,-54.53329,54.53329,0.8003625,25.15603,45.0331,64.175,20.0233,93.16836,52312.37439768016,150000,150000,25017.0,-51.3233281099874,150001,149191,measure_failed=251;no_convergence=557;timeout=2,1,PSRR_worst_case_10Hz_10MHz,54.53329,54.53329,54.53329,54.53329,1,1.365,1.0,8.29,7.46,0.7200000000000001,22.931238375434678,1.5018064757154548,1.365,1.0,8.29,7.46,0.7200000000000001,22.931238375434678,1.5018064757154548,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,11,323345,ABC,40,-52.46079,52.46079,0,1,0.8019467,17.66081,45.1467,63.585,21.5863,122.724,0,0,0,0,0,0,39.0,1,-52.46079,52.46079,0.8019467,17.66081,45.1467,63.585,21.5863,122.724,52265.98196994513,150000,150000,66506.0,-50.509279231001535,150001,149084,measure_failed=228;no_convergence=684;timeout=5,0,PSRR_worst_case_10Hz_10MHz,52.46079,52.46079,52.46079,52.46079,1,1.035,1.0,10.905,7.315,0.935,33.1839156764344,1.3765027526735791,1.035,1.0,10.905,7.315,0.935,33.1839156764344,1.3765027526735791,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,12,324345,ABC,40,-56.24752,56.24752,0,1,0.8011006,20.11702,42.475,65.673,20.2649,135.4222,0,0,0,0,0,0,81.0,1,-56.24752,56.24752,0.8011006,20.11702,42.475,65.673,20.2649,135.4222,48450.15958213061,150000,150000,116243.0,-51.89319393355956,150001,148505,measure_failed=282;no_convergence=1214,0,PSRR_worst_case_10Hz_10MHz,56.24752,56.24752,56.24752,56.24752,1,1.0,1.0,12.5,6.93,0.745,37.595701282409,1.467901851674594,1.0,1.0,12.5,6.93,0.745,37.595701282409,1.467901851674594,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,13,325345,ABC,40,-57.21229,57.21229,0,1,0.8008859,23.28558,43.7408,68.378,20.1836,93.36908,0,0,0,0,0,0,35.0,1,-57.21229,57.21229,0.8008859,23.28558,43.7408,68.378,20.1836,93.36908,49661.30458527058,150000,150000,7323.0,-56.42890568040456,150001,148876,measure_failed=247;no_convergence=878,0,PSRR_worst_case_10Hz_10MHz,57.21229,57.21229,57.21229,57.21229,1,1.0,1.0,5.74,5.225,0.7000000000000001,22.995162378992603,1.446741105393405,1.0,1.0,5.74,5.225,0.7000000000000001,22.995162378992603,1.446741105393405,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,14,326345,ABC,40,-51.96528,51.96528,0,1,0.8010239,17.11219,44.9296,62.19799999999999,20.0944,130.6337,0,0,0,0,0,0,83.0,1,-51.96528,51.96528,0.8010239,17.11219,44.9296,62.19799999999999,20.0944,130.6337,52128.70219878853,150000,150000,40478.0,-49.40206975216501,150001,148706,measure_failed=288;no_convergence=1007,0,PSRR_worst_case_10Hz_10MHz,51.96528,51.96528,51.96528,51.96528,1,1.145,2.08,14.425,8.4,0.81,35.93684810411408,1.375111622922047,1.145,2.08,14.425,8.4,0.81,35.93684810411408,1.375111622922047,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,15,327345,ABC,40,-55.89499,55.89499,0,1,0.8011968,18.96859,44.4829,65.635,20.478,105.9513,0,0,0,0,0,0,55.0,1,-55.89499,55.89499,0.8011968,18.96859,44.4829,65.635,20.478,105.9513,43023.61989769712,150000,150000,135232.0,-49.55432124000826,150001,148989,measure_failed=214;no_convergence=797;timeout=1,0,PSRR_worst_case_10Hz_10MHz,55.89499,55.91714,55.89499,55.91714,1,1.075,1.0,8.475000000000001,6.8100000000000005,0.76,27.362598677645167,1.4400271225179757,1.075,1.0,8.475000000000001,6.8100000000000005,0.76,27.362598677645167,1.4400271225179757,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,16,328345,ABC,40,-49.92197,49.92197,0,1,0.8017397,20.67776,47.3038,60.44799999999999,22.2243,131.1804,0,0,0,0,0,0,328.0,1,-49.92197,49.92197,0.8017397,20.67776,47.3038,60.44799999999999,22.2243,131.1804,48265.29450271651,150000,150000,122891.0,-47.0115016702778,150001,148654,measure_failed=305;no_convergence=1041;timeout=1,0,PSRR_worst_case_10Hz_10MHz,49.92197,49.92197,49.92197,49.92197,1,1.22,1.005,16.025,8.875,1.135,36.1270566508298,1.2885453560374354,1.22,1.005,16.025,8.875,1.135,36.1270566508298,1.2885453560374354,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,17,329345,ABC,40,-52.72739,52.72739,0,1,0.8009742,16.91122,44.831,61.069,20.1215,142.3326,0,0,0,0,0,0,175.0,1,-52.72739,52.72739,0.8009742,16.91122,44.831,61.069,20.1215,142.3326,48990.35390269384,150000,150000,71464.0,-49.74867953473024,150001,149148,measure_failed=236;no_convergence=617,0,PSRR_worst_case_10Hz_10MHz,52.72739,52.72739,52.72739,52.72739,1,1.205,1.695,17.85,9.21,0.8250000000000001,40.0,1.3956578859934587,1.205,1.695,17.85,9.21,0.8250000000000001,40.0,1.3956578859934587,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,18,330345,ABC,40,-55.08954,55.08954,0,1,0.8010383,20.23661,42.9062,64.705,20.1011,142.3465,0,0,0,0,0,0,195.0,1,-55.08954,55.08954,0.8010383,20.23661,42.9062,64.705,20.1011,142.3465,47745.71628579125,150000,150000,2440.0,-53.27227255810706,150001,148954,measure_failed=270;no_convergence=777,0,PSRR_worst_case_10Hz_10MHz,55.08954,55.08954,55.08954,55.08954,1,1.005,1.63,15.02,8.025,0.74,40.0,1.4191376277233705,1.005,1.63,15.02,8.025,0.74,40.0,1.4191376277233705,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,19,331345,ABC,40,-52.07164,52.07164,0,1,0.80079,25.381,42.4405,64.923,20.092,99.0353,0,0,0,0,0,0,270.0,1,-52.07164,52.07164,0.80079,25.381,42.4405,64.923,20.092,99.0353,41909.61726146936,150000,150000,43841.0,-48.727211369455794,150001,149444,measure_failed=231;no_convergence=326,0,PSRR_worst_case_10Hz_10MHz,52.07164,52.07164,52.07164,52.07164,1,1.455,1.0,8.620000000000001,7.715,0.6900000000000001,24.96084361782659,1.6718368734353035,1.455,1.0,8.620000000000001,7.715,0.6900000000000001,24.96084361782659,1.6718368734353035,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,20,332345,ABC,40,-55.92748,55.92748,0,1,0.8009297,21.13302,41.4482,66.227,20.0307,139.4496,0,0,0,0,0,0,347.0,1,-55.92748,55.92748,0.8009297,21.13302,41.4482,66.227,20.0307,139.4496,39966.74846199528,150000,150000,94864.0,-50.64596282978554,150001,148728,measure_failed=271;no_convergence=1002,0,PSRR_worst_case_10Hz_10MHz,55.92748,55.93454,55.92748,55.93454,1,1.0,1.085,12.305,6.1,0.73,38.99606266532079,1.4941931079012394,1.0,1.085,12.305,6.1,0.73,38.99606266532079,1.4941931079012394,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,21,333345,ABC,40,-52.27657,52.27657,0,1,0.8003582,21.83795,46.7137,61.812,20.2037,94.00365,0,0,0,0,0,0,32.0,1,-52.27657,52.27657,0.8003582,21.83795,46.7137,61.812,20.2037,94.00365,42956.75609633699,150000,150000,129622.0,-49.987061223041486,150001,149399,measure_failed=250;no_convergence=352,0,PSRR_worst_case_10Hz_10MHz,52.27657,52.27657,52.27657,52.27657,1,1.44,1.475,9.935,8.405000000000001,0.77,23.22408677763996,1.4377945613821737,1.44,1.475,9.935,8.405000000000001,0.77,23.22408677763996,1.4377945613821737,0.798,0.802,26.0,40.0,60.0,20.0,400.0
