run,ABC,GWO,FA,PSO,GA,ACO
0,-50.99428,-57.6967,-21.27583,-22.59149,-21.91031,-21.36083
1,-51.79738,-58.45269,-22.5117,-22.61595,-54.83296,-22.63264
2,-49.99834,-48.47583,-21.99679,-21.36122,-56.05956,-21.3345
3,-50.01377,-29.22374,-22.13329,-21.29989,-54.65746,-22.63098
4,-50.54596,-58.70309,-21.31772,-22.5368,-21.3056,-21.33618
5,-50.47177,-58.68053,-22.44761,-21.48379,-54.18346,-21.33874
6,-49.80159,-58.6943,-21.30813,-21.34022,-22.42135,-21.33713
7,-50.16177,-32.8102,-22.46674,-21.31339,-54.64204,-21.32822
8,-50.74854,-58.26699,-45.76297,-21.31339,-21.3432,-21.33985
9,-51.62029,-59.77428,-21.24283,-21.30018,-56.8415,-21.33989
10,-49.93722,-59.6571,8.90874,-22.61714,-21.31406,-21.33352
11,-50.20152,-59.18357,-21.30925,-21.29254,-21.11992,-21.33898
12,-50.41766,-58.44294,-22.14115,-19.8662,-22.31093,-22.65497
13,-52.04175,-30.0435,-21.26225,-21.32446,-21.26335,-21.3382
14,-50.1406,-58.31143,-21.31062,-21.29422,-21.27669,-21.33986
15,-51.50764,-58.60393,-21.28768,-21.28899,-21.28143,-21.33896
16,-50.02421,-29.66995,-21.11891,-21.32262,-21.32193,-21.33873
17,-50.86246,-31.94556,-22.39934,-59.59272,-57.35068,-60.39413
18,-50.40802,-59.09054,-22.49214,-21.34004,-53.40205,-21.3393
19,-49.76953,-59.00735,-22.33176,-21.56148,-22.48617,-21.3353
20,-51.36527,-58.23561,-49.19529,-21.31497,-58.87454,-22.63468
21,-51.08052,-37.63336,-21.19904,-22.55421,-51.71052,-21.33985
22,-51.98632,-58.44697,-22.56628,-21.54732,-55.87349,-21.33752
23,-50.15474,-58.77083,-21.25625,-21.33028,-21.27196,-21.32943
24,-50.28003,-57.94052,-22.3376,-21.32274,-59.1126,-21.33844
25,-50.49714,-29.8432,-20.19903,-21.35182,-50.79549,-22.6477
26,-49.8094,-58.05712,-45.28239,-59.13126,-56.36304,-21.35909
27,-50.22373,-28.73532,-29.85672,-21.35125,-52.49086,-21.33735
28,-50.44064,-58.52013,-22.43987,-22.55622,-51.11185,-21.33735
29,-50.23815,-59.98854,-15.21205,-59.60486,-51.97436,-21.33795
