case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_core,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_core,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
banba_cal,SKY130-BGR-banba_cal,7,0,312345,ABC,40,-50.99428,50.99428,0,1,0.7998875,27.82891,52.6842,61.013000000000005,18.6331,56.24519,0,0,0,0,0,0,17.0,1,-50.99428,50.99428,0.7998875,27.82891,52.6842,61.013000000000005,18.6331,56.24519,56224.08848761767,150000,150000,148023.0,-49.20270856292375,150001,149867,measure_failed=39;no_convergence=91;timeout=4,0,PSRR_worst_case_10Hz_10MHz,50.99428,51.13717,50.99428,51.13717,1,2.705,1.0,4.12,12.035,0.6950000000000001,10.11305536724147,1.4327523222824274,2.705,1.0,4.12,12.035,0.6950000000000001,10.11305536724147,1.4327523222824274,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,1,313345,ABC,40,-51.79738,51.79738,0,1,0.8005329,28.25693,55.7089,64.869,15.8045,60.86585,0,0,0,0,0,0,30.0,1,-51.79738,51.79738,0.8005329,28.25693,55.7089,64.869,15.8045,60.86585,56958.35353314132,150000,150000,119347.0,-49.83256978061854,150001,149840,measure_failed=42;no_convergence=114;timeout=5,0,PSRR_worst_case_10Hz_10MHz,51.79738,51.79738,51.79738,51.79738,1,3.1,1.0,1.0,15.845,0.62,11.700610919214183,1.3171347917017586,3.1,1.0,1.0,15.845,0.62,11.700610919214183,1.3171347917017586,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,2,314345,ABC,40,-49.99834,49.99834,0,1,0.8016126,14.85793,56.6406,63.054,15.5604,65.89044,0,0,0,0,0,0,3.0,1,-49.99834,49.99834,0.8016126,14.85793,56.6406,63.054,15.5604,65.89044,53238.4527669102,150000,150000,17245.0,-49.88090890769272,150001,149831,measure_failed=44;no_convergence=123;timeout=3,1,PSRR_worst_case_10Hz_10MHz,49.99834,49.99834,49.99834,49.99834,1,3.325,1.0,1.0,16.785,0.7100000000000001,13.441600027314404,1.1488909926301114,3.325,1.0,1.0,16.785,0.7100000000000001,13.441600027314404,1.1488909926301114,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,3,315345,ABC,40,-50.01377,50.01377,0,1,0.8017033,14.21368,56.5865,63.146,15.6061,66.30768,0,0,0,0,0,0,70.0,1,-50.01377,50.01377,0.8017033,14.21368,56.5865,63.146,15.6061,66.30768,55990.88470648229,150000,150000,30211.0,-47.07349658651057,150001,149668,measure_failed=36;no_convergence=297,0,PSRR_worst_case_10Hz_10MHz,50.01377,50.01377,50.01377,50.01377,1,3.28,1.0,1.0,16.745,0.7150000000000001,13.585790214898076,1.1445657046507465,3.28,1.0,1.0,16.745,0.7150000000000001,13.585790214898076,1.1445657046507465,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,4,316345,ABC,40,-50.54596,50.54596,0,1,0.801683,14.79917,56.2907,63.606,15.6916,66.07071,0,0,0,0,0,0,10.0,1,-50.54596,50.54596,0.801683,14.79917,56.2907,63.606,15.6916,66.07071,56499.30508704484,150000,150000,113906.0,-49.33220557205716,150001,149813,measure_failed=58;no_convergence=121;timeout=9,0,PSRR_worst_case_10Hz_10MHz,50.54596,50.54596,50.54596,50.54596,1,3.14,1.0,1.0,16.18,0.7050000000000001,13.503033297014069,1.19286796383382,3.14,1.0,1.0,16.18,0.7050000000000001,13.503033297014069,1.19286796383382,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,5,317345,ABC,40,-50.47177,50.47177,0,1,0.8017499,17.02337,52.6675,64.552,16.6798,69.4739,0,0,0,0,0,0,6.0,1,-50.47177,50.47177,0.8017499,17.02337,52.6675,64.552,16.6798,69.4739,58703.464292280376,150000,150000,87476.0,-49.18961786815245,150001,149850,measure_failed=48;no_convergence=103,0,PSRR_worst_case_10Hz_10MHz,50.47177,50.47177,50.47177,50.47177,1,2.075,1.335,2.055,10.38,0.7250000000000001,14.686738807144884,1.2687505118087012,2.075,1.335,2.055,10.38,0.7250000000000001,14.686738807144884,1.2687505118087012,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,6,318345,ABC,40,-49.80159,49.80159,0,1,0.8016952,15.02498,53.7187,61.004000000000005,16.7401,69.48196,0,0,0,0,0,0,12.0,1,-49.80159,49.80159,0.8016952,15.02498,53.7187,61.004000000000005,16.7401,69.48196,57377.6845503524,150000,150000,17645.0,-49.39936752871685,150001,149829,measure_failed=44;no_convergence=128,0,PSRR_worst_case_10Hz_10MHz,49.80159,49.80159,49.80159,49.80159,1,2.915,1.0,3.015,15.07,0.78,14.692689640941284,1.215652194545218,2.915,1.0,3.015,15.07,0.78,14.692689640941284,1.215652194545218,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,7,319345,ABC,40,-50.16177,50.16177,0,1,0.8015507,16.67147,53.8782,61.406000000000006,16.408,68.99083,0,0,0,0,0,0,8.0,1,-50.16177,50.16177,0.8015507,16.67147,53.8782,61.406000000000006,16.408,68.99083,57071.158542476594,150000,150000,101240.0,-49.20315211401409,150001,149800,measure_failed=30;no_convergence=171,0,PSRR_worst_case_10Hz_10MHz,50.16177,50.16177,50.16177,50.16177,1,2.98,1.025,2.74,15.55,0.745,14.52167283084708,1.2508197792948248,2.98,1.025,2.74,15.55,0.745,14.52167283084708,1.2508197792948248,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,8,320345,ABC,40,-50.74854,50.74854,0,1,0.8005995,29.25838,55.5796,64.226,15.5518,63.14683,0,0,0,0,0,0,75.0,1,-50.74854,50.74854,0.8005995,29.25838,55.5796,64.226,15.5518,63.14683,61938.74385897815,150000,150000,79711.0,-47.014214260361726,150001,149758,measure_failed=46;no_convergence=196;timeout=1,0,PSRR_worst_case_10Hz_10MHz,50.74854,50.74854,50.74854,50.74854,1,3.155,1.745,1.0,18.1,0.61,12.489919420463448,1.277859676418019,3.155,1.745,1.0,18.1,0.61,12.489919420463448,1.277859676418019,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,9,321345,ABC,40,-51.62029,51.62029,0,1,0.8017096,20.22496,52.5668,68.862,16.1539,67.10751,0,0,0,0,0,0,17.0,1,-51.62029,51.62029,0.8017096,20.22496,52.5668,68.862,16.1539,67.10751,60045.005181491375,150000,150000,95248.0,-49.738191299542,150001,149744,measure_failed=44;no_convergence=212;timeout=1,0,PSRR_worst_case_10Hz_10MHz,51.62029,51.62029,51.62029,51.62029,1,1.76,1.0,1.0,8.105,0.65,13.859776953855084,1.262295561910698,1.76,1.0,1.0,8.105,0.65,13.859776953855084,1.262295561910698,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
