run,ABC,GWO,FA,PSO,GA,ACO
0,-54.97017,-55.78362,-43.21018,-55.60222,-54.42002,-55.67211
1,-54.98142,-55.71441,-41.739,-54.201,-55.44706,-55.74446
2,-55.0468,-55.73207,-54.25691,-54.3387,-55.39949,-55.65307
3,-54.82809,-55.73878,-45.08261,-55.63701,-55.09603,-55.73676
4,-55.5107,-55.79718,-37.36661,-54.74996,-54.39691,-55.65156
5,-55.02967,-55.81916,-44.87076,-54.20822,-54.75632,-55.63748
6,-55.25957,-55.73207,-44.64254,-55.66011,-55.73138,-55.79047
7,-54.92241,-55.72995,-30.00305,-54.21604,-55.26365,-55.81041
8,-55.31325,-55.50946,-30.00496,-44.92579,-54.44686,-55.78779
9,-54.89248,-55.61447,-54.07455,-54.20102,-44.68323,-55.73671
10,-55.22406,-55.65817,-54.19221,-54.1184,-45.02962,-55.74451
11,-54.55846,-55.73009,-44.12132,-54.21774,-54.68786,-55.79084
12,-54.8188,-55.83102,-42.23144,-54.27628,-54.89738,-55.64712
13,-55.09741,-55.78242,-48.96627,-55.8385,-53.87208,-55.74101
14,-55.26628,-55.75226,-49.82991,-55.02131,-55.36238,-55.73665
15,-55.04669,-55.7891,-46.01839,-54.37432,-53.1591,-55.733
16,-55.01418,-55.60091,-36.38398,-55.94965,-53.43026,-55.73681
17,-54.80555,-55.6659,-49.47842,-54.19609,-45.643,-55.79092
18,-54.87043,-55.79899,-44.83732,-54.37319,-46.59408,-55.54283
19,-55.13629,-55.80166,-25.42681,-55.61406,-52.32986,-55.79131
20,-54.2622,-55.78651,-27.25109,-54.34585,-54.36896,-55.61983
21,-55.00653,-55.79042,-25.28316,-55.61532,-54.43729,-55.73302
22,-55.15317,-55.73262,-54.04883,-54.29018,-54.74527,-55.73664
23,-55.26325,-55.78009,-54.26753,-55.7683,-53.93215,-55.67194
24,-55.02999,-55.34716,-45.17117,-54.03148,-55.0409,-55.64705
25,-55.21722,-55.69126,-34.80353,-55.61056,-55.62265,-54.37076
26,-54.55317,-55.59999,-26.22874,-54.21257,-54.75095,-55.52691
27,-55.24717,-55.81437,-54.36547,-55.66441,-53.5984,-55.65587
28,-54.92844,-55.70882,-43.37122,-54.21247,-55.04459,-55.74053
29,-55.46403,-55.8286,-40.23191,-55.7371,-55.64181,-55.73261
