case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_pass,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_pass,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
base,SKY130-BGR,7,0,312345,ABC,40,-54.97017,54.97017,0,1,1.221398,19.49083,50.36,64.092,15.7324,47.16338,0,0,0,0,0,0,88.0,1,-54.97017,54.97017,1.221398,19.49083,50.36,64.092,15.7324,47.16338,17726.219042664394,150000,150000,33256.0,-52.7378863389756,150001,149998,measure_failed=3,0,PSRR_worst_case_10Hz_10MHz,54.97017,54.97017,54.97017,54.97017,1,4.79,1.135,1.0,26.365,0.6,9.94475256953894,1.2266773637668833,4.79,1.135,1.0,26.365,0.6,9.94475256953894,1.2266773637668833,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,1,313345,ABC,40,-54.98142,54.98142,0,1,1.221269,20.13306,50.2209,64.077,15.7889,46.12981,0,0,0,0,0,0,35.0,1,-54.98142,54.98142,1.221269,20.13306,50.2209,64.077,15.7889,46.12981,18661.83793226629,150000,150000,31487.0,-54.02098867552451,150001,149996,measure_failed=5,0,PSRR_worst_case_10Hz_10MHz,54.98142,54.98142,54.98142,54.98142,1,4.915,1.0,1.08,26.14,0.595,9.587375623084156,1.2461602464750223,4.915,1.0,1.08,26.14,0.595,9.587375623084156,1.2461602464750223,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,2,314345,ABC,40,-55.0468,55.0468,0,1,1.2214,19.49576,50.1579,63.604,15.5227,46.6501,0,0,0,0,0,0,95.0,1,-55.0468,55.0468,1.2214,19.49576,50.1579,63.604,15.5227,46.6501,18141.56839569285,150000,150000,28048.0,-52.72326118724125,150001,150000,measure_failed=1,0,PSRR_worst_case_10Hz_10MHz,55.0468,55.0468,55.0468,55.0468,1,5.155,1.0,1.0,26.765,0.58,9.7664698316093,1.214027126010247,5.155,1.0,1.0,26.765,0.58,9.7664698316093,1.214027126010247,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,3,315345,ABC,40,-54.82809,54.82809,0,1,1.221399,19.44616,50.2664,63.75,15.594,46.757,0,0,0,0,0,0,178.0,1,-54.82809,54.82809,1.221399,19.44616,50.2664,63.75,15.594,46.757,18809.96552012488,150000,150000,11321.0,-52.86511296818645,150001,149969,measure_failed=32,0,PSRR_worst_case_10Hz_10MHz,54.82809,54.82809,54.82809,54.82809,1,5.11,1.0,1.0,27.035,0.585,9.80360285057036,1.2014878070175423,5.11,1.0,1.0,27.035,0.585,9.80360285057036,1.2014878070175423,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,4,316345,ABC,40,-55.5107,55.5107,0,1,1.221346,19.83902,50.0285,63.944,15.5848,45.43999,0,0,0,0,0,0,156.0,1,-55.5107,55.5107,1.221346,19.83902,50.0285,63.944,15.5848,45.43999,18066.63225164078,150000,150000,41341.0,-51.60409046693645,150001,149999,measure_failed=2,0,PSRR_worst_case_10Hz_10MHz,55.5107,55.53739,55.5107,55.53739,1,5.095,1.0,1.0,26.23,0.575,9.346929570985417,1.258176803378547,5.095,1.0,1.0,26.23,0.575,9.346929570985417,1.258176803378547,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,5,317345,ABC,40,-55.02967,55.02967,0,1,1.22139,19.50584,50.0185,63.611,15.4919,45.05843,0,0,0,0,0,0,19.0,1,-55.02967,55.02967,1.22139,19.50584,50.0185,63.611,15.4919,45.05843,17912.734631175175,150000,150000,61118.0,-54.11501069897133,150001,149997,measure_failed=4,0,PSRR_worst_case_10Hz_10MHz,55.02967,55.02967,55.02967,55.02967,1,5.505,1.0,1.0,27.85,0.5650000000000001,9.213872046944324,1.242242288604523,5.505,1.0,1.0,27.85,0.5650000000000001,9.213872046944324,1.242242288604523,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,6,318345,ABC,40,-55.25957,55.25957,0,1,1.221396,19.61987,50.0984,63.937,15.6661,46.27642,0,0,0,0,0,0,37.0,1,-55.25957,55.25957,1.221396,19.61987,50.0984,63.937,15.6661,46.27642,18363.10547292605,150000,150000,89709.0,-53.871855895005964,150001,149996,measure_failed=5,0,PSRR_worst_case_10Hz_10MHz,55.25957,55.25957,55.25957,55.25957,1,5.0200000000000005,1.0,1.0,26.485,0.58,9.636767460539,1.2393547293963738,5.0200000000000005,1.0,1.0,26.485,0.58,9.636767460539,1.2393547293963738,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,7,319345,ABC,40,-54.92241,54.92241,0,1,1.221309,19.82969,50.3672,64.264,15.8146,46.23289,0,0,0,0,0,0,2.0,1,-54.92241,54.92241,1.221309,19.82969,50.3672,64.264,15.8146,46.23289,18618.09339796193,150000,150000,149130.0,-54.1147493598624,150001,149992,measure_failed=9,0,PSRR_worst_case_10Hz_10MHz,54.92241,54.92241,54.92241,54.92241,1,4.755,1.16,1.0,25.695,0.6,9.622717929878348,1.2430590079366834,4.755,1.16,1.0,25.695,0.6,9.622717929878348,1.2430590079366834,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,8,320345,ABC,40,-55.31325,55.31325,0,1,1.221374,19.69962,50.1259,63.988,15.6761,46.45305,0,0,0,0,0,0,1.0,1,-55.31325,55.31325,1.221374,19.69962,50.1259,63.988,15.6761,46.45305,18679.756957072765,150000,150000,117479.0,-53.93858734158228,150001,149891,measure_failed=110,0,PSRR_worst_case_10Hz_10MHz,55.31325,55.31325,55.31325,55.31325,1,4.915,1.0,1.0,25.92,0.585,9.698371590735745,1.2445684464185882,4.915,1.0,1.0,25.92,0.585,9.698371590735745,1.2445684464185882,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,9,321345,ABC,40,-54.89248,54.89248,0,1,1.221285,19.81023,50.244,63.77,15.5549,44.78245,0,0,0,0,0,0,20.0,1,-54.89248,54.89248,1.221285,19.81023,50.244,63.77,15.5549,44.78245,18117.78798131272,150000,150000,137831.0,-53.55049950246335,150001,149997,measure_failed=4,0,PSRR_worst_case_10Hz_10MHz,54.89248,54.89248,54.89248,54.89248,1,5.405,1.0,1.0,27.145,0.575,9.119306554655434,1.2434662836782528,5.405,1.0,1.0,27.145,0.575,9.119306554655434,1.2434662836782528,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,10,322345,ABC,40,-55.22406,55.22406,0,1,1.221393,19.61,50.1161,63.874,15.6412,46.29355,0,0,0,0,0,0,16.0,1,-55.22406,55.22406,1.221393,19.61,50.1161,63.874,15.6412,46.29355,17411.61433467269,150000,150000,76745.0,-53.92478977345616,150001,149991,measure_failed=10,0,PSRR_worst_case_10Hz_10MHz,55.22406,55.23617,55.22406,55.23617,1,5.055,1.0,1.0,26.555,0.58,9.64275732336622,1.2353768556420046,5.055,1.0,1.0,26.555,0.58,9.64275732336622,1.2353768556420046,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,11,323345,ABC,40,-54.55846,54.55846,0,1,1.221397,19.34198,50.637,64.074,15.7287,47.96291,0,0,0,0,0,0,1.0,1,-54.55846,54.55846,1.221397,19.34198,50.637,64.074,15.7287,47.96291,18401.425944143903,150000,150000,47985.0,-54.208533750225,150001,150000,measure_failed=1,0,PSRR_worst_case_10Hz_10MHz,54.55846,54.61074,54.55846,54.61074,1,4.85,1.0,1.0,26.9,0.615,10.222399349689926,1.1890774986449022,4.85,1.0,1.0,26.9,0.615,10.222399349689926,1.1890774986449022,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,12,324345,ABC,40,-54.8188,54.8188,0,1,1.221213,20.0645,50.4353,64.238,15.7531,44.25111,0,0,0,0,0,0,12.0,1,-54.8188,54.8188,1.221213,20.0645,50.4353,64.238,15.7531,44.25111,17549.481186440215,150000,150000,75130.0,-54.20306267791786,150001,149993,measure_failed=8,0,PSRR_worst_case_10Hz_10MHz,54.8188,54.8188,54.8188,54.8188,1,5.245,1.04,1.0,26.835,0.585,8.935682788108855,1.251978891719746,5.245,1.04,1.0,26.835,0.585,8.935682788108855,1.251978891719746,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
