corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
fs,1.8,ABC,0,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,1,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,2,0,2,53.83406,1.222239,19.74518,49.8985,64.321,15.4197,46.65458,
fs,1.8,ABC,3,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,4,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,5,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,6,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,7,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,8,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,9,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,10,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,11,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,12,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,13,0,2,53.67221,1.222188,20.0237,49.9097,64.587,15.5094,46.40465,
fs,1.8,ABC,14,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,15,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,16,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,17,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,18,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,19,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,20,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,21,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,22,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,23,0,1,50.60832,1.222134,20.26758,50.0539,65.699,15.9917,46.00834,
fs,1.8,ABC,24,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,25,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,26,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,27,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,28,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,29,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,0,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,1,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,2,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,3,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,4,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,5,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,6,0,2,50.6234,1.222204,20.11766,49.7627,65.565,15.8847,46.59642,
fs,1.8,ACO,7,0,2,50.30804,1.222154,20.297,49.7581,65.586,15.9037,45.90212,
fs,1.8,ACO,8,0,2,51.4936,1.222227,20.0181,49.7477,65.335,15.7825,46.7532,
fs,1.8,ACO,9,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,10,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,11,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,12,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,13,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,14,0,2,52.12446,1.222209,20.05807,49.7509,65.189,15.727,46.46489,
fs,1.8,ACO,15,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,16,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,17,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,18,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,19,0,2,51.40439,1.222216,20.05795,49.7491,65.361,15.7951,46.64083,
fs,1.8,ACO,20,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,21,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,22,0,2,52.11092,1.22221,20.05805,49.751,65.189,15.7274,46.46687,
fs,1.8,ACO,23,0,2,52.35119,1.222158,20.23743,49.7589,65.141,15.7211,45.77567,
fs,1.8,ACO,24,0,2,53.17663,1.222216,20.01828,49.7509,64.963,15.6404,46.41075,
fs,1.8,ACO,25,0,2,54.22084,1.222299,19.64505,49.7372,63.251000000000005,15.1375,49.50005,
fs,1.8,ACO,26,0,2,53.6744,1.222221,19.97853,49.7513,64.759,15.5687,46.28828,
fs,1.8,ACO,27,0,2,52.89559,1.222197,20.08802,49.7536,65.025,15.6671,46.20011,
fs,1.8,ACO,28,0,2,51.98347,1.222202,20.08794,49.7521,65.216,15.7397,46.37401,
fs,1.8,ACO,29,0,2,52.24793,1.222218,20.02321,49.7498,65.162,15.7144,46.56377,
fs,1.8,FA,0,0,1,41.6284,1.221212,26.30273,50.6114,62.31399999999999,25.6165,26.33038,
fs,1.8,FA,1,0,2,42.68713,1.221623,23.18327,49.805,61.306,15.0356,53.35106,
fs,1.8,FA,2,0,6,-200.0,,,,,,,timeout
fs,1.8,FA,3,0,1,41.83564,1.221081,26.3403,50.9471,63.027,19.5159,27.36401,
fs,1.8,FA,4,0,6,-200.0,,,,,,,timeout
fs,1.8,FA,5,0,6,-200.0,,,,,,,timeout
fs,1.8,FA,6,0,1,40.61232,1.221105,26.3646,51.2189,61.917,22.7212,26.56462,
fs,1.8,FA,7,0,6,-200.0,,,,,,,timeout
fs,1.8,FA,8,0,6,-200.0,,,,,,,timeout
fs,1.8,FA,9,0,2,53.92004,1.222279,19.4272,49.9026,63.181,15.0992,47.61248,
fs,1.8,FA,10,0,2,54.04595,1.222288,19.68985,49.7185,62.363,14.6652,49.29401,
fs,1.8,FA,11,0,1,44.69289,1.220936,25.51445,49.836,62.45,16.1138,43.16951,
fs,1.8,FA,12,0,2,43.25086,1.221402,23.8871,49.8202,61.980000000000004,15.4206,48.85573,
fs,1.8,FA,13,0,2,49.63001,1.220781,26.30209,49.8248,63.531000000000006,17.3003,46.57396,
fs,1.8,FA,14,0,6,-200.0,,,,,,,timeout
fs,1.8,FA,15,0,6,-200.0,,,,,,,timeout
