corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
sf,1.8,ABC,0,1,0,39.28468,1.219127,19.2388,50.5502,62.986999999999995,15.9235,47.15181,
sf,1.8,ABC,1,1,0,39.58702,1.219005,19.92186,50.3674,63.010999999999996,15.9766,46.11847,
sf,1.8,ABC,2,1,0,43.08558,1.219127,19.18412,50.3369,62.593,15.6587,46.63845,
sf,1.8,ABC,3,1,0,44.68061,1.219107,19.09992,50.4592,62.78,15.7226,46.74472,
sf,1.8,ABC,4,1,0,38.53765,1.219147,19.74555,50.1497,62.818,15.8884,45.43085,
sf,1.8,ABC,5,1,0,41.48777,1.219155,19.25825,50.1664,62.577,15.7467,45.04804,
sf,1.8,ABC,6,1,0,40.53527,1.219154,19.40243,50.2577,62.849000000000004,15.836,46.26581,
sf,1.8,ABC,7,1,0,37.23258,1.219063,19.64251,50.5331,63.095,16.0468,46.22216,
sf,1.8,ABC,8,1,0,39.27829,1.219141,19.51697,50.2817,62.864999999999995,15.8637,46.44274,
sf,1.8,ABC,9,1,0,40.57147,1.219044,19.57818,50.3862,62.736999999999995,15.8221,44.77187,
sf,1.8,ABC,10,1,0,40.9505,1.219146,19.3777,50.277,62.80200000000001,15.8041,46.28279,
sf,1.8,ABC,11,1,0,43.66687,1.219074,18.98112,50.859,63.126000000000005,15.8667,47.94961,
sf,1.8,ABC,12,1,0,39.02737,1.218979,19.9024,50.5619,63.150000000000006,16.0481,44.24081,
sf,1.8,ABC,13,1,0,40.31727,1.219095,19.50776,50.3322,62.783,15.7912,46.38915,
sf,1.8,ABC,14,1,0,40.12927,1.219147,19.5119,50.168,62.762,15.8407,45.13522,
sf,1.8,ABC,15,1,0,40.81454,1.219107,19.38329,50.3427,62.68300000000001,15.7543,48.06049,
sf,1.8,ABC,16,1,0,41.20309,1.219146,19.31804,50.1681,62.632000000000005,15.7788,44.86081,
sf,1.8,ABC,17,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,18,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,19,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,20,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,21,1,0,42.17335,1.219121,19.2737,50.4062,62.922,15.8342,46.44646,
sf,1.8,ABC,22,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,23,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,24,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,25,1,0,38.70658,1.219146,19.39261,50.4609,63.132999999999996,15.9976,47.06368,
sf,1.8,ABC,26,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,27,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,28,0,6,-200.0,,,,,,,timeout
sf,1.8,ABC,29,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,0,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,1,1,0,35.90886,1.219205,19.90865,50.113,63.241,16.1594,46.25201,
sf,1.8,ACO,2,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,3,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,4,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,5,1,0,37.54091,1.219205,19.62531,50.1371,62.971999999999994,15.9618,46.57559,
sf,1.8,ACO,6,1,0,34.77756,1.219238,19.96279,50.123,63.513999999999996,16.3424,46.58519,
sf,1.8,ACO,7,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,8,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,9,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,10,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,11,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,12,1,0,37.23832,1.219199,19.70494,50.1307,63.016999999999996,15.9973,46.39543,
sf,1.8,ACO,13,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,14,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,15,1,0,36.30474,1.219218,19.7792,50.124,63.167,16.1022,46.54467,
sf,1.8,ACO,16,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,17,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,18,1,0,37.84263,1.219166,19.74524,50.1279,62.934,15.9462,45.93893,
sf,1.8,ACO,19,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,20,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,21,1,0,36.29102,1.219217,19.78418,50.1237,63.167,16.1027,46.53556,
sf,1.8,ACO,22,1,0,36.19317,1.219215,19.81901,50.1211,63.196,16.122,46.45467,
sf,1.8,ACO,23,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,24,0,6,-200.0,,,,,,,timeout
sf,1.8,ACO,25,1,0,52.47283,1.219012,19.02683,50.2498,61.733999999999995,15.3305,49.47804,
sf,1.8,ACO,26,1,0,38.49146,1.219183,19.59086,50.1405,62.867999999999995,15.89,46.27462,
sf,1.8,ACO,27,1,0,36.90051,1.219189,19.79955,50.1231,63.063,16.0349,46.1875,
sf,1.8,ACO,28,1,0,36.06168,1.219211,19.85884,50.1173,63.218,16.1399,46.36195,
sf,1.8,ACO,29,1,0,36.32127,1.219219,19.76924,50.1246,63.17,16.1027,46.5514,
sf,1.8,FA,0,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,1,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,2,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,3,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,4,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,5,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,6,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,7,0,2,30.09675,1.217127,25.47977,49.978,61.55200000000001,28.4721,26.80598,
sf,1.8,FA,8,0,2,30.09316,1.217161,25.35956,49.9786,61.528999999999996,28.5681,26.67915,
sf,1.8,FA,9,1,0,51.73918,1.21903,18.74814,50.4317,61.659000000000006,15.2869,47.59177,
sf,1.8,FA,10,1,0,51.85171,1.219021,19.01178,50.2598,60.955,14.8679,49.27268,
sf,1.8,FA,11,0,1,42.88393,1.217438,24.69667,50.1409,61.18300000000001,16.0037,43.14049,
sf,1.8,FA,12,0,1,41.51162,1.217915,23.26878,50.1553,60.556,15.3213,48.82705,
sf,1.8,FA,13,0,1,48.17598,1.217279,25.39195,50.1511,62.399,17.1921,46.54485,
sf,1.8,FA,14,0,1,47.77157,1.217199,25.36375,50.1228,63.697,17.5214,35.88903,
sf,1.8,FA,15,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,16,0,2,35.62756,1.218224,22.28281,50.2538,59.241,14.0036,51.42521,
sf,1.8,FA,17,0,6,-200.0,,,,,,,timeout
sf,1.8,FA,18,0,1,40.00379,1.217412,25.34437,50.2351,62.334,18.2453,26.75122,
