algo,run,conditions,n_feasible,worst_objective,worst_penalty,nominal_feasible,robust
ABC,0,15,3,-200.0,6,0,0
ABC,1,15,2,-200.0,6,0,0
ABC,2,15,3,-200.0,6,1,0
ABC,3,15,3,-200.0,6,0,0
ABC,4,15,2,-200.0,6,0,0
ABC,5,15,1,-200.0,6,0,0
ABC,6,15,1,-200.0,6,0,0
ABC,7,15,1,-200.0,6,0,0
ABC,8,15,2,-200.0,6,1,0
ABC,9,15,2,-200.0,6,1,0
ABC,10,15,1,-200.0,6,0,0
ABC,11,15,1,-200.0,6,0,0
ABC,12,15,2,-200.0,6,0,0
ABC,13,15,1,-200.0,6,0,0
ABC,14,15,1,-200.0,6,0,0
ABC,15,15,1,-200.0,6,0,0
ABC,16,15,1,-200.0,6,0,0
ABC,17,15,0,-200.0,6,0,0
ABC,18,15,1,-200.0,6,0,0
ABC,19,15,0,-200.0,6,0,0
ABC,20,15,1,-200.0,6,0,0
ABC,21,15,2,-200.0,6,0,0
ABC,22,15,1,-200.0,6,0,0
ABC,23,15,0,-200.0,6,0,0
ABC,24,15,0,-200.0,6,0,0
ABC,25,15,1,-200.0,6,0,0
ABC,26,15,0,-200.0,6,0,0
ABC,27,15,2,-200.0,6,1,0
ABC,28,15,1,-200.0,6,1,0
ABC,29,15,1,-200.0,6,1,0
ACO,0,15,2,-200.0,6,1,0
ACO,1,15,2,-200.0,6,0,0
ACO,2,15,1,-200.0,6,0,0
ACO,3,15,2,-200.0,6,1,0
ACO,4,15,2,-200.0,6,1,0
ACO,5,15,2,-200.0,6,0,0
ACO,6,15,1,-200.0,6,0,0
ACO,7,15,0,-200.0,6,0,0
ACO,8,15,0,-200.0,6,0,0
ACO,9,15,0,-200.0,6,0,0
ACO,10,15,0,-200.0,6,0,0
ACO,11,15,0,-200.0,6,0,0
ACO,12,15,1,-200.0,6,0,0
ACO,13,15,0,-200.0,6,0,0
ACO,14,15,1,-200.0,6,1,0
ACO,15,15,2,-200.0,6,0,0
ACO,16,15,1,-200.0,6,1,0
ACO,17,15,0,-200.0,6,0,0
ACO,18,15,3,-200.0,6,1,0
ACO,19,15,1,-200.0,6,0,0
ACO,20,15,0,-200.0,6,0,0
ACO,21,15,1,-200.0,6,0,0
ACO,22,15,3,-200.0,6,1,0
ACO,23,15,2,-200.0,6,1,0
ACO,24,15,1,-200.0,6,0,0
ACO,25,15,2,-200.0,6,0,0
ACO,26,15,2,-200.0,6,0,0
ACO,27,15,3,-200.0,6,0,0
ACO,28,15,2,-200.0,6,0,0
ACO,29,15,3,-200.0,6,0,0
FA,0,15,4,-200.0,6,0,0
FA,1,15,4,-200.0,6,0,0
FA,2,15,1,-200.0,6,1,0
FA,3,15,4,-200.0,6,1,0
FA,4,15,2,-200.0,6,1,0
FA,5,15,3,-200.0,6,1,0
FA,6,15,2,-200.0,6,1,0
FA,7,15,3,-200.0,6,1,0
FA,8,15,2,-200.0,6,1,0
FA,9,15,1,-200.0,6,0,0
FA,10,15,1,-200.0,6,0,0
FA,11,15,4,-200.0,6,1,0
FA,12,15,4,-200.0,6,1,0
FA,13,15,3,-200.0,6,1,0
FA,14,15,3,-200.0,6,1,0
FA,15,15,5,-200.0,6,1,0
FA,16,15,2,-200.0,6,1,0
FA,17,15,3,-200.0,6,1,0
FA,18,15,5,-200.0,6,1,0
FA,19,15,3,-200.0,6,1,0
FA,20,15,0,-200.0,6,0,0
FA,21,15,3,-200.0,6,1,0
FA,22,15,2,-200.0,6,1,0
FA,23,15,1,-200.0,6,1,0
FA,24,15,3,-200.0,6,1,0
FA,25,15,2,-200.0,6,1,0
FA,26,15,4,-200.0,6,1,0
FA,27,15,2,-200.0,6,1,0
FA,28,15,5,-200.0,6,1,0
FA,29,15,2,-200.0,6,1,0
GA,0,15,4,-200.0,6,1,0
GA,1,15,3,-200.0,6,1,0
GA,2,15,4,-200.0,6,1,0
GA,3,15,3,-200.0,6,1,0
GA,4,15,3,-200.0,6,1,0
GA,5,15,3,-200.0,6,1,0
GA,6,15,3,-200.0,6,1,0
GA,7,15,5,-200.0,6,1,0
GA,8,15,3,27.19638,2,1,0
GA,9,15,5,-200.0,6,1,0
GA,10,15,5,-200.0,6,1,0
GA,11,15,8,-200.0,6,1,0
