experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D12,12,0,42,ABC,-116.09809531011298,116.09809531011298,0,1,15.418114500003869
dim,D12,12,0,42,GWO,-104.97267187183058,104.97267187183058,0,1,13.358603000000585
dim,D12,12,0,42,FA,-114.92840826489888,114.92840826489888,0,1,35.788441199983936
dim,D12,12,0,42,PSO,-115.69578488702876,115.69578488702876,0,1,9.456595199997537
dim,D12,12,0,42,GA,-116.0425241148285,116.0425241148285,0,1,19.087827700015623
dim,D12,12,0,42,ACO,-109.98251756921051,109.98251756921051,0,1,17.177681599976495
dim,D12,12,1,1042,ABC,-110.2911746823488,110.2911746823488,0,1,15.501615199958906
dim,D12,12,1,1042,GWO,-104.26400790478884,104.26400790478884,0,1,13.502732200024184
dim,D12,12,1,1042,FA,-110.27444988515802,110.27444988515802,0,1,36.13378159998683
dim,D12,12,1,1042,PSO,-109.4928212645697,109.4928212645697,0,1,9.379418500000613
dim,D12,12,1,1042,GA,-110.25584715437682,110.25584715437682,0,1,18.57509870000649
dim,D12,12,1,1042,ACO,-109.84381488726756,109.84381488726756,0,1,17.12555410002824
dim,D12,12,2,2042,ABC,-110.07747200849052,110.07747200849052,0,1,15.576759699964896
dim,D12,12,2,2042,GWO,-94.16274207877862,94.16274207877862,0,1,13.235935300006531
dim,D12,12,2,2042,FA,-107.96115962635842,107.96115962635842,0,1,36.48786130000372
dim,D12,12,2,2042,PSO,-109.95589724018733,109.95589724018733,0,1,9.3841394999763
dim,D12,12,2,2042,GA,-110.1447754978774,110.1447754978774,0,1,19.002125400002114
dim,D12,12,2,2042,ACO,-110.1820682126521,110.1820682126521,0,1,17.536851299984846
dim,D12,12,3,3042,ABC,-111.2645463036128,111.2645463036128,0,1,15.426010700000916
dim,D12,12,3,3042,GWO,-111.370455519222,111.370455519222,0,1,13.388340100005736
dim,D12,12,3,3042,FA,-111.087065666736,111.087065666736,0,1,36.39679699996486
dim,D12,12,3,3042,PSO,-111.5633984566664,111.5633984566664,0,1,9.499413300014568
dim,D12,12,3,3042,GA,-111.48029720215756,111.48029720215756,0,1,19.09267009998439
dim,D12,12,3,3042,ACO,-111.56332951505344,111.56332951505344,0,1,17.325626100006048
