experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,frozen,12,0,42,ABC,-116.09809531011298,116.09809531011298,0,1,36.712003400025424
pressure,frozen,12,0,42,GWO,-104.97267187183058,104.97267187183058,0,1,32.1855593000073
pressure,frozen,12,0,42,FA,-114.92840826489888,114.92840826489888,0,1,88.29208350001136
pressure,frozen,12,0,42,PSO,-115.69578488702876,115.69578488702876,0,1,19.524543899984565
pressure,frozen,12,0,42,GA,-116.0425241148285,116.0425241148285,0,1,41.16143999999622
pressure,frozen,12,0,42,ACO,-109.98251756921051,109.98251756921051,0,1,36.78890849999152
pressure,frozen,12,1,1042,ABC,-110.2911746823488,110.2911746823488,0,1,42.5274475000333
pressure,frozen,12,1,1042,GWO,-104.26400790478884,104.26400790478884,0,1,31.823116299987305
pressure,frozen,12,1,1042,FA,-110.27444988515802,110.27444988515802,0,1,88.28038979996927
pressure,frozen,12,1,1042,PSO,-109.4928212645697,109.4928212645697,0,1,20.465623199997932
pressure,frozen,12,1,1042,GA,-110.25584715437682,110.25584715437682,0,1,38.140661699988414
pressure,frozen,12,1,1042,ACO,-109.84381488726756,109.84381488726756,0,1,36.6648057999555
pressure,frozen,12,2,2042,ABC,-110.07747200849052,110.07747200849052,0,1,42.60307090001879
pressure,frozen,12,2,2042,GWO,-94.16274207877862,94.16274207877862,0,1,32.16198069998063
pressure,frozen,12,2,2042,FA,-107.96115962635842,107.96115962635842,0,1,90.57383400003891
pressure,frozen,12,2,2042,PSO,-109.95589724018733,109.95589724018733,0,1,17.693051800015382
pressure,frozen,12,2,2042,GA,-110.1447754978774,110.1447754978774,0,1,39.53356199996779
pressure,frozen,12,2,2042,ACO,-110.1820682126521,110.1820682126521,0,1,36.77524109999649
pressure,frozen,12,3,3042,ABC,-111.2645463036128,111.2645463036128,0,1,41.95778890000656
pressure,frozen,12,3,3042,GWO,-111.370455519222,111.370455519222,0,1,33.1405289999675
pressure,frozen,12,3,3042,FA,-111.087065666736,111.087065666736,0,1,87.09796779998578
pressure,frozen,12,3,3042,PSO,-111.5633984566664,111.5633984566664,0,1,21.343719099997543
pressure,frozen,12,3,3042,GA,-111.48029720215756,111.48029720215756,0,1,40.04707289999351
pressure,frozen,12,3,3042,ACO,-111.56332951505344,111.56332951505344,0,1,38.779863300034776
pressure,frozen,12,4,4042,ABC,892.3565685883492,107.64343141165084,1,0,42.404498400050215
pressure,frozen,12,4,4042,GWO,903.7047090609028,96.2952909390971,1,0,30.603052699996624
pressure,frozen,12,4,4042,FA,899.1198004279743,100.88019957202567,1,0,169.0602417999762
pressure,frozen,12,4,4042,PSO,906.0813067741336,93.91869322586643,1,0,22.12857790000271
