case,algo,run,recorded,psrr_8_per_decade,psrr_256_per_decade,loss_db,reproduces,passes
banba,ABC,9,57.71703,57.71701,57.71701,0.0,1,1
banba,GWO,23,58.53763,58.53678,58.53678,0.0,1,1
banba,FA,19,57.9044,57.9044,57.9044,0.0,1,1
banba,PSO,4,57.75359,57.75359,57.75359,0.0,1,1
banba,GA,17,57.73236,57.73236,57.73236,0.0,1,1
banba,ACO,18,57.58951,57.58951,57.58951,0.0,1,1
banba_cal,ABC,13,52.04175,52.04175,52.04175,0.0,1,1
banba_cal,GWO,29,59.98854,59.98854,59.98854,0.0,1,1
banba_cal,FA,20,49.19529,49.19447,49.19447,0.0,1,1
banba_cal,PSO,29,59.60486,59.60486,59.60486,0.0,1,1
banba_cal,GA,24,59.1126,59.1126,59.1126,0.0,1,1
banba_cal,ACO,17,60.39413,60.39379,60.39379,0.0,1,1
