case,algo,run,recorded,psrr_8_per_decade,psrr_256_per_decade,loss_db,reproduces,passes
base,ABC,4,55.5107,55.5107,55.5107,0.0,1,1
base,GWO,12,55.83102,55.83102,55.83102,0.0,1,1
base,FA,27,54.36547,54.36547,54.36547,0.0,1,1
base,PSO,16,55.94965,55.94874,55.94874,0.0,1,1
base,GA,6,55.73138,55.73137,55.73137,0.0,1,1
base,ACO,7,55.81041,55.81042,55.81042,0.0,1,1
hard,ABC,23,50.89986,50.89986,50.89986,0.0,1,1
hard,GWO,14,51.13224,51.13224,51.13224,0.0,1,1
hard,FA,28,50.80658,50.80658,50.80658,0.0,1,1
hard,PSO,4,51.13335,51.13335,51.13335,0.0,1,1
hard,GA,25,51.10961,51.10961,51.10961,0.0,1,1
hard,ACO,11,51.11765,51.11765,51.11765,0.0,1,1
highdim,ABC,10,52.39239,52.39239,52.39239,0.0,1,1
highdim,GWO,14,77.11004,77.11005,77.11005,0.0,1,1
highdim,FA,24,30.76039,30.76039,30.76039,0.0,1,1
highdim,PSO,7,65.40956,65.40955,65.40955,0.0,1,1
highdim,GA,12,57.85176,57.85176,57.80198,0.04977999999999838,1,1
highdim,ACO,19,49.08733,49.08733,49.08733,0.0,1,1
