run,ABC,GWO,FA,PSO,GA,ACO
0,-50.36674,-51.06659,-26.66254,-25.91322,-44.87954,-51.04513
1,-50.65116,-51.09565,-50.61878,-50.66165,-48.64913,-51.1024
2,-50.59383,-51.12837,-36.68905,-51.0458,-44.90026,-51.02985
3,-50.41886,-51.08262,-23.31635,-50.52877,-39.96173,-50.96778
4,-50.76797,-51.11616,-26.43872,-51.13335,-38.50478,-51.06425
5,-50.75767,-51.09794,-25.89724,-45.00197,-50.93697,-51.05377
6,-50.52387,-51.06719,-50.4619,-50.98598,-50.98441,-50.79442
7,-50.82627,-51.12383,-49.60782,-51.00833,-50.98432,-51.00856
8,-50.31846,-51.02448,-26.49003,-50.55076,-50.96871,-51.09737
9,-50.42434,-51.13029,-26.30161,-49.24248,-42.70675,-50.98592
10,-50.57464,-51.12963,-27.75082,-50.53765,-51.00496,-50.948
11,-50.40191,-51.08225,-28.12838,-50.74975,-50.94764,-51.11765
12,-50.43954,-51.07794,-50.34025,-50.52217,-48.54663,-51.03018
13,-49.70919,-51.11745,-44.08431,-51.09186,-50.84298,-51.03016
14,-50.10767,-51.13224,-23.47363,-51.00705,-51.0549,-50.79457
15,-50.56893,-51.11702,-40.80869,-50.53772,-51.03773,-50.98591
16,-50.52813,-51.1108,-26.70528,-50.53455,-41.96735,-51.00856
17,-50.60943,-51.13134,-49.53205,-51.11983,-51.02065,-50.74961
18,-50.43446,-51.09589,-36.55035,-50.96809,-44.80205,-50.98603
19,-50.41128,-51.11682,-48.88544,-51.05377,-42.35328,-51.08292
20,-50.41479,-51.11567,-50.18999,-51.09589,-51.02928,-50.90437
21,-50.63518,-51.07909,-24.94752,-50.60674,-41.85476,-51.06494
22,-50.51519,-51.12367,-26.06138,-50.52217,-43.90007,-51.04605
23,-50.89986,-51.07291,-26.58978,-50.50746,-50.95678,-51.00851
24,-50.22353,-51.13184,-40.13981,-50.22872,-51.07989,-51.00845
25,-50.17102,-51.11668,-25.87668,-50.79431,-51.10961,-50.92631
26,-50.52781,-51.11878,-26.27319,-51.06482,-50.95247,-51.00856
27,-50.69818,-51.04098,-37.01646,-25.91319,-50.96612,-51.04665
28,-50.51523,-51.10536,-50.80658,-50.53575,-51.05366,-51.02927
29,-50.46072,-51.12955,-23.20402,-24.30589,-50.84598,-51.06501
