case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_pass,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_pass,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
hard,SKY130-BGR-hard,7,0,312345,ABC,40,-50.36674,50.36674,0,1,1.220633,22.5715,52.3757,69.665,18.5802,37.12788,0,0,0,0,0,0,246.0,1,-50.36674,50.36674,1.220633,22.5715,52.3757,69.665,18.5802,37.12788,15772.715839996934,150000,150000,105821.0,-45.81167790245268,150001,149975,measure_failed=26,0,PSRR_worst_case_10Hz_10MHz,50.36674,50.36674,50.36674,50.36674,1,3.99,1.005,1.0,21.37,0.795,6.46949930219248,1.2918550318223252,3.99,1.005,1.0,21.37,0.795,6.46949930219248,1.2918550318223252,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,1,313345,ABC,40,-50.65116,50.65116,0,1,1.220826,21.72399,52.3479,69.424,18.2,41.6655,0,0,0,0,0,0,105.0,1,-50.65116,50.65116,1.220826,21.72399,52.3479,69.424,18.2,41.6655,16896.287251630798,150000,150000,121361.0,-47.63334290958606,150001,149987,measure_failed=14,0,PSRR_worst_case_10Hz_10MHz,50.65116,50.65116,50.65116,50.65116,1,3.73,1.095,1.0,22.375,0.8400000000000001,8.042839812743873,1.205710775512223,3.73,1.095,1.0,22.375,0.8400000000000001,8.042839812743873,1.205710775512223,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,2,314345,ABC,40,-50.59383,50.59383,0,1,1.220804,21.99246,52.2173,69.343,18.204,41.02501,0,0,0,0,0,0,525.0,1,-50.59383,50.59383,1.220804,21.99246,52.2173,69.343,18.204,41.02501,16367.700797243044,150000,150000,62254.0,-43.50373831802212,150001,149986,measure_failed=15,0,PSRR_worst_case_10Hz_10MHz,50.59383,50.59383,50.59383,50.59383,1,3.59,1.455,1.0,21.48,0.8400000000000001,7.820722623650444,1.204166109252138,3.59,1.455,1.0,21.48,0.8400000000000001,7.820722623650444,1.204166109252138,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,3,315345,ABC,40,-50.41886,50.41886,0,1,1.220803,22.07687,52.3441,69.648,18.2651,42.78312,0,0,0,0,0,0,526.0,1,-50.41886,50.41886,1.220803,22.07687,52.3441,69.648,18.2651,42.78312,17598.80061674118,150000,150000,31661.0,-38.593972599684,150001,149967,measure_failed=34,0,PSRR_worst_case_10Hz_10MHz,50.41886,50.41886,50.41886,50.41886,1,3.51,1.2,1.0,20.275,0.915,8.431296048259501,1.1450228772189208,3.51,1.2,1.0,20.275,0.915,8.431296048259501,1.1450228772189208,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,4,316345,ABC,40,-50.76797,50.76797,0,1,1.22082,21.87303,52.2846,69.444,18.2007,42.66124,0,0,0,0,0,0,278.0,1,-50.76797,50.76797,1.22082,21.87303,52.2846,69.444,18.2007,42.66124,15374.42272619158,150000,150000,128875.0,-44.46210292605284,150001,149993,measure_failed=8,0,PSRR_worst_case_10Hz_10MHz,50.76797,50.76797,50.76797,50.76797,1,3.605,1.055,1.0,21.095,0.875,8.388720933515902,1.171324061672846,3.605,1.055,1.0,21.095,0.875,8.388720933515902,1.171324061672846,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,5,317345,ABC,40,-50.75767,50.75767,0,1,1.220857,21.84258,52.2184,69.511,18.2193,43.36529,0,0,0,0,0,0,93.0,1,-50.75767,50.75767,1.220857,21.84258,52.2184,69.511,18.2193,43.36529,16617.364330640063,150000,150000,112071.0,-45.616165038500256,150001,149981,measure_failed=20,0,PSRR_worst_case_10Hz_10MHz,50.75767,50.75767,50.75767,50.75767,1,3.515,1.12,1.0,20.735,0.895,8.63277561162421,1.1594114261301256,3.515,1.12,1.0,20.735,0.895,8.63277561162421,1.1594114261301256,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,6,318345,ABC,40,-50.52387,50.52387,0,1,1.220745,22.06799,52.5285,69.56,18.2561,41.27576,0,0,0,0,0,0,259.0,1,-50.52387,50.52387,1.220745,22.06799,52.5285,69.56,18.2561,41.27576,16485.434415187687,150000,150000,99889.0,-45.967252601450674,150001,149981,measure_failed=20,0,PSRR_worst_case_10Hz_10MHz,50.52387,50.52387,50.52387,50.52387,1,3.72,1.085,1.0,21.335,0.875,7.9085162892492225,1.1839934691639418,3.72,1.085,1.0,21.335,0.875,7.9085162892492225,1.1839934691639418,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,7,319345,ABC,40,-50.82627,50.82627,0,1,1.220652,22.36261,52.248,69.066,18.244,38.02615,0,0,0,0,0,0,158.0,1,-50.82627,50.82627,1.220652,22.36261,52.248,69.066,18.244,38.02615,16193.919459760187,150000,150000,149707.0,-48.177103825558845,150001,149955,measure_failed=46,0,PSRR_worst_case_10Hz_10MHz,50.82627,50.82627,50.82627,50.82627,1,4.085,1.0,1.0,21.925,0.77,6.781140235605166,1.2858944637815513,4.085,1.0,1.0,21.925,0.77,6.781140235605166,1.2858944637815513,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,8,320345,ABC,40,-50.31846,50.31846,0,1,1.220887,21.97607,52.2659,70.409,18.6181,43.72785,0,0,0,0,0,0,425.0,1,-50.31846,50.31846,1.220887,21.97607,52.2659,70.409,18.6181,43.72785,16782.807298554108,150000,150000,81149.0,-44.69229880469202,150001,149945,measure_failed=56,0,PSRR_worst_case_10Hz_10MHz,50.31846,50.31846,50.31846,50.31846,1,3.355,1.0,1.0,19.950000000000003,0.96,8.758390799683179,1.1325562451872788,3.355,1.0,1.0,19.950000000000003,0.96,8.758390799683179,1.1325562451872788,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
hard,SKY130-BGR-hard,7,9,321345,ABC,40,-50.42434,50.42434,0,1,1.220741,22.18225,52.3501,69.762,18.5009,39.72424,0,0,0,0,0,0,294.0,1,-50.42434,50.42434,1.220741,22.18225,52.3501,69.762,18.5009,39.72424,15846.90341853723,150000,150000,144094.0,-47.159097345113295,150001,149977,measure_failed=24,0,PSRR_worst_case_10Hz_10MHz,50.42434,50.42434,50.42434,50.42434,1,3.71,1.07,1.0,21.525,0.8350000000000001,7.369790074987267,1.2465415085880946,3.71,1.07,1.0,21.525,0.8350000000000001,7.369790074987267,1.2465415085880946,1.218694,1.221112,24.2,52.2,64.2,18.2,48.9
