corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
ff,1.98,ABC,0,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,1,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,2,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,3,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,4,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,5,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,6,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,7,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,8,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,9,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,10,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,11,0,1,50.1143,1.220793,21.47139,52.7387,69.973,18.1343,43.35307,
ff,1.98,ABC,12,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,13,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,14,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,15,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,16,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,17,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,18,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,19,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,20,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,21,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,22,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,23,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,24,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,25,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,26,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,27,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,28,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,29,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,0,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,1,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,2,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,3,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,4,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,5,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,6,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,7,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,8,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,9,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,10,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,11,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,12,0,6,-200.0,,,,,,,timeout
ff,1.98,ACO,13,0,1,47.2693,1.220859,21.1277,52.4589,69.871,18.0868,43.42133,
ff,1.98,ACO,14,0,1,50.40015,1.220909,21.02755,52.4976,69.996,18.1134,45.2063,
ff,1.98,ACO,15,0,1,47.89827,1.220865,21.12263,52.47,69.89,18.0891,43.72751,
ff,1.98,ACO,16,0,1,47.5862,1.220862,21.12268,52.4645,69.88,18.0874,43.57712,
ff,1.98,ACO,17,0,1,50.40323,1.220917,21.01252,52.5034,70.009,18.1183,45.50656,
