corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
fs,1.8,ABC,0,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,1,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,2,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,3,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,4,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,5,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,6,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,7,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,8,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,9,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,10,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,11,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,12,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,13,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,14,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,15,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,16,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,17,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,18,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,19,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,20,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,21,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,22,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,23,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,24,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,25,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,26,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,27,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,28,0,6,-200.0,,,,,,,timeout
fs,1.8,ABC,29,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,0,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,1,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,2,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,3,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,4,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,5,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,6,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,7,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,8,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,9,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,10,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,11,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,12,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,13,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,14,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,15,0,6,-200.0,,,,,,,timeout
fs,1.8,ACO,16,0,3,48.38492,1.221841,21.93411,51.9426,70.013,18.1415,43.56936,
fs,1.8,ACO,17,0,3,50.54884,1.221922,21.74418,51.9317,70.142,18.1633,45.49966,
fs,1.8,ACO,18,0,3,48.61694,1.221847,21.91913,51.9442,70.021,18.1436,43.72639,
fs,1.8,ACO,19,0,3,47.33338,1.221816,21.98913,51.9417,69.977,18.1408,42.89416,
fs,1.8,ACO,20,0,3,49.26692,1.221883,21.8292,51.9367,70.08,18.1594,44.44196,
fs,1.8,ACO,21,0,3,47.68535,1.221819,21.98411,51.944,69.978,18.1388,43.0373,
fs,1.8,ACO,22,0,3,47.80784,1.221829,21.95913,51.9414,70.007,18.145,43.22741,
fs,1.8,ACO,23,0,3,48.39582,1.22184,21.93909,51.9425,70.012,18.1414,43.56592,
fs,1.8,ACO,24,0,3,48.34063,1.221843,21.92416,51.943,70.016,18.1417,43.5829,
fs,1.8,ACO,25,0,3,49.1055,1.221874,21.8492,51.9376,70.066,18.156,44.26594,
fs,1.8,ACO,26,0,3,48.38494,1.221841,21.93411,51.9426,70.013,18.1415,43.56938,
fs,1.8,ACO,27,0,3,47.76809,1.221832,21.94916,51.941,70.008,18.1436,43.25499,
fs,1.8,ACO,28,0,3,48.15303,1.221834,21.95408,51.9412,70.008,18.1415,43.39346,
fs,1.8,ACO,29,0,3,47.71647,1.221818,21.99405,51.9436,69.976,18.1386,43.02756,
fs,1.8,FA,0,0,3,26.53796,1.221523,24.42058,52.1875,64.264,27.9964,27.6057,
fs,1.8,FA,1,0,3,50.23122,1.221813,22.09335,52.0472,70.049,18.1657,43.86209,
fs,1.8,FA,2,0,2,34.62096,1.221828,24.14663,52.1246,64.357,24.2675,25.88836,
fs,1.8,FA,3,0,3,23.63137,1.22206,24.20156,52.1739,76.37,30.3471,40.41578,
fs,1.8,FA,4,0,3,26.40597,1.221521,24.42558,52.1915,64.207,28.1383,27.62267,
fs,1.8,FA,5,0,4,25.98609,1.221579,24.34504,52.1966,64.181,28.8937,27.86126,
fs,1.8,FA,6,0,3,50.43268,1.221907,21.79405,52.0497,70.237,18.1703,45.59823,
fs,1.8,FA,7,0,3,49.63063,1.221402,23.81764,51.9813,69.188,18.077,38.67565,
fs,1.8,FA,8,0,3,26.35224,1.221525,24.43047,52.1869,64.207,28.397,27.69813,
fs,1.8,FA,9,0,4,26.21403,1.22154,24.43017,52.1886,64.19,28.623,27.84199,
fs,1.8,FA,10,0,3,27.78374,1.221604,24.42392,52.187,68.081,26.6075,28.65265,
fs,1.8,FA,11,0,3,28.01513,1.221608,24.42384,52.1794,68.238,26.4832,28.67776,
fs,1.8,FA,12,0,3,50.20214,1.221818,22.18254,52.0393,70.109,18.1727,44.29183,
fs,1.8,FA,13,0,3,43.40606,1.221578,24.33018,52.1023,66.961,19.3388,27.3841,
