corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
sf,1.62,ABC,0,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,1,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,2,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,3,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,4,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,5,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,6,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,7,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,8,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,9,0,1,33.9863,1.21892,22.77724,47.3817,69.536,21.3824,39.72375,
sf,1.62,ABC,10,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,11,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,12,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,13,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,14,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,15,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,16,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,17,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,18,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,19,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,20,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,21,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,22,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,23,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,24,0,2,26.31814,1.218366,23.9914,50.7334,68.718,19.8753,41.27094,
sf,1.62,ABC,25,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,26,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,27,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,28,0,6,-200.0,,,,,,,timeout
sf,1.62,ABC,29,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,0,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,1,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,2,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,3,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,4,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,5,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,6,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,7,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,8,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,9,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,10,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,11,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,12,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,13,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,14,0,6,-200.0,,,,,,,timeout
sf,1.62,ACO,15,0,1,27.69028,1.21903,23.56071,49.3242,68.632,20.0982,43.70972,
sf,1.62,ACO,16,0,1,28.03447,1.219048,23.51562,49.1918,68.649,20.1386,43.56002,
sf,1.62,ACO,17,0,2,24.36345,1.218682,23.39338,51.1197,68.461,19.5071,45.47534,
sf,1.62,ACO,18,0,1,27.67414,1.21903,23.56071,49.3332,68.632,20.0948,43.71628,
sf,1.62,ACO,19,0,1,29.48557,1.219096,23.30092,48.695,68.727,20.3048,42.88725,
sf,1.62,ACO,20,0,1,26.18927,1.218946,23.63194,49.9968,68.567,19.891,44.42783,
sf,1.62,ACO,21,0,1,29.17667,1.219084,23.36081,48.7867,68.708,20.2743,43.02992,
