corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
ss,1.98,ABC,0,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,1,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,2,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,3,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,4,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,5,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,6,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,7,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,8,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,9,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,10,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,11,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,12,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,13,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,14,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,15,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,16,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,17,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,18,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,19,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,20,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,21,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,22,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,23,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,24,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,25,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,26,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,27,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,28,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,29,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,0,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,1,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,2,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,3,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,4,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,5,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,6,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,7,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,8,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,9,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,10,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,11,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,12,0,6,-200.0,,,,,,,timeout
ss,1.98,ACO,13,0,3,49.44734,1.221971,21.05887,52.1861,69.276,18.0593,43.43369,
ss,1.98,ACO,14,0,3,50.19585,1.222046,20.94352,52.1361,69.425,18.1003,45.21949,
ss,1.98,ACO,15,0,3,50.08544,1.221981,21.04878,52.1807,69.293,18.0669,43.74002,
ss,1.98,ACO,16,0,3,49.77265,1.221976,21.05383,52.1835,69.283,18.063,43.58956,
ss,1.98,ACO,17,0,3,50.19719,1.222057,20.92349,52.1265,69.453,18.1068,45.51988,
ss,1.98,ACO,18,0,3,50.06231,1.221982,21.04381,52.1809,69.295,18.0671,43.74659,
ss,1.98,ACO,19,0,3,48.50123,1.221952,21.07904,52.1998,69.244,18.05,42.91438,
ss,1.98,ACO,20,0,3,50.18755,1.222018,20.97871,52.1569,69.368,18.0877,44.46218,
ss,1.98,ACO,21,0,3,48.90742,1.221954,21.08893,52.1978,69.249,18.0507,43.05751,
ss,1.98,ACO,22,0,3,49.07309,1.221965,21.0689,52.1907,69.278,18.0604,43.24763,
ss,1.98,ACO,23,0,3,49.78372,1.221976,21.05383,52.1834,69.283,18.0629,43.58612,
ss,1.98,ACO,24,0,3,49.7281,1.221978,21.04883,52.1839,69.286,18.0635,43.60309,
ss,1.98,ACO,25,0,3,50.18272,1.222009,20.99375,52.1618,69.35,18.0832,44.28614,
ss,1.98,ACO,26,0,3,49.77268,1.221976,21.05383,52.1835,69.283,18.063,43.58957,
ss,1.98,ACO,27,0,3,49.03676,1.221967,21.05398,52.1903,69.278,18.0594,43.2752,
ss,1.98,ACO,28,0,3,49.48063,1.221969,21.06387,52.1862,69.275,18.0598,43.41368,
ss,1.98,ACO,29,0,6,-200.0,,,,,,,timeout
ss,1.98,FA,0,0,6,-200.0,,,,,,,timeout
ss,1.98,FA,1,0,6,-200.0,,,,,,,timeout
ss,1.98,FA,2,0,6,-200.0,,,,,,,timeout
ss,1.98,FA,3,0,6,-200.0,,,,,,,timeout
ss,1.98,FA,4,0,2,28.25335,1.221978,22.96327,52.3046,64.013,27.8921,27.65383,
ss,1.98,FA,5,0,2,27.45752,1.222065,22.88228,52.2964,64.026,28.7068,27.89338,
ss,1.98,FA,6,0,2,50.15424,1.221925,20.99519,52.7412,69.536,18.124,45.61448,
ss,1.98,FA,7,0,2,49.58295,1.221457,22.88871,52.4813,68.431,18.0659,38.69314,
ss,1.98,FA,8,0,2,28.20265,1.221988,22.973,52.298,64.022,28.1669,27.72949,
ss,1.98,FA,9,0,2,27.6627,1.222014,22.97251,52.2891,64.025,28.4135,27.87368,
ss,1.98,FA,10,0,1,29.82424,1.222029,23.06646,52.3038,67.867,26.2854,28.68269,
ss,1.98,FA,11,0,1,29.88373,1.222032,23.07136,52.2911,68.026,26.1581,28.70777,
ss,1.98,FA,12,0,2,50.0683,1.221847,21.36358,52.6925,69.399,18.1135,44.30846,
ss,1.98,FA,13,0,1,44.30784,1.221862,22.90592,52.4478,66.289,19.0978,27.4093,
ss,1.98,FA,14,0,1,24.38956,1.222602,22.79787,52.2367,74.27,30.9279,36.34531,
ss,1.98,FA,15,0,1,41.43405,1.221742,22.99747,52.4529,66.407,18.5231,27.88283,
ss,1.98,FA,16,0,1,28.38426,1.221987,22.97798,52.2999,64.474,27.6193,27.74633,
ss,1.98,FA,17,0,2,47.95442,1.221827,21.01671,53.0313,69.398,18.0614,42.34644,
ss,1.98,FA,18,0,1,37.69199,1.22106,23.64563,52.9064,68.041,18.088,38.29423,
ss,1.98,FA,19,0,2,49.79334,1.221517,22.69409,52.4677,68.616,18.0833,40.00529,
ss,1.98,FA,20,0,2,49.95626,1.221783,21.70201,52.5539,69.214,18.1032,43.24001,
ss,1.98,FA,21,0,1,25.93078,1.222314,23.03629,52.2438,69.46,29.9455,31.59587,
ss,1.98,FA,22,0,2,27.4167,1.22204,22.96706,52.2862,64.045,28.8202,28.04886,
ss,1.98,FA,23,0,2,28.17482,1.221975,22.96828,52.3026,63.997,27.7091,27.61457,
ss,1.98,FA,24,0,1,41.23927,1.221095,23.72436,52.399,68.036,18.1457,44.42603,
ss,1.98,FA,25,0,2,27.52814,1.222031,22.96227,52.2967,64.03,28.7473,27.99574,
ss,1.98,FA,26,0,2,27.64565,1.222015,22.97249,52.2902,64.03,28.4157,27.87764,
ss,1.98,FA,27,0,1,38.03938,1.221025,23.68601,52.9897,68.192,18.126,41.84942,
ss,1.98,FA,28,0,3,50.18203,1.222017,20.96881,52.1747,69.383,18.09,44.44025,
ss,1.98,FA,29,0,1,23.84836,1.222773,22.55182,52.209,76.218,31.1441,38.8246,
ss,1.98,GA,0,0,1,44.98212,1.22186,23.04485,52.4514,66.719,20.1044,27.50405,
ss,1.98,GA,1,0,2,48.72594,1.221383,22.98438,52.6832,67.979,17.9939,33.80863,
ss,1.98,GA,2,0,1,44.9909,1.221868,23.01989,52.4118,66.595,19.8713,27.43126,
ss,1.98,GA,3,0,1,40.80148,1.221547,23.1599,52.5348,66.578,18.2234,28.78466,
ss,1.98,GA,4,0,1,39.36303,1.221678,23.13758,52.5034,66.553,18.2,28.28077,
ss,1.98,GA,5,0,2,44.49156,1.221774,21.52856,52.3999,69.133,18.0736,38.29207,
ss,1.98,GA,6,0,3,48.36679,1.221955,21.15834,52.1964,69.415,18.1407,42.81637,
ss,1.98,GA,7,0,2,44.8849,1.221738,21.58376,52.4431,68.906,17.9707,37.71065,
ss,1.98,GA,8,0,3,50.10624,1.221973,21.0886,52.1868,69.305,18.0773,43.61314,
ss,1.98,GA,9,0,1,43.57023,1.221707,23.10726,52.4765,66.482,18.6277,28.01626,
ss,1.98,GA,10,0,2,49.58769,1.221958,21.09878,52.2069,69.269,18.0604,43.28422,
ss,1.98,GA,11,0,2,45.34608,1.221856,21.24438,52.345,69.186,18.0556,40.30601,
ss,1.98,GA,12,0,2,48.62239,1.221425,22.85954,52.8727,68.256,17.9981,33.61882,
ss,1.98,GA,13,0,3,50.14939,1.221996,21.06836,52.1832,69.356,18.0902,44.3147,
ss,1.98,GA,14,0,2,45.39398,1.221865,21.18966,52.2974,69.085,18.0082,40.52671,
ss,1.98,GA,15,0,2,44.96345,1.221769,21.47408,52.4006,68.943,17.9757,38.52434,
ss,1.98,GA,16,0,1,42.79125,1.221646,23.15306,52.4769,66.812,18.3696,28.41928,
ss,1.98,GA,17,0,2,47.90555,1.221901,21.28328,52.2362,69.3,18.1037,41.89462,
ss,1.98,GA,18,0,1,44.90677,1.221926,22.85513,52.4292,66.539,19.7361,27.25715,
ss,1.98,GA,19,0,1,42.90972,1.221738,23.04219,52.4625,66.253,18.3917,27.86328,
ss,1.98,GA,20,0,2,44.29922,1.221729,21.58392,52.4501,68.865,17.9505,37.12592,
ss,1.98,GA,21,0,1,42.67292,1.222533,21.50032,52.4409,67.359,18.7598,26.10063,
ss,1.98,GA,22,0,1,44.50223,1.22216,22.30527,52.4241,66.801,19.3694,26.73544,
ss,1.98,GA,23,0,2,44.81425,1.221707,21.69344,52.4701,68.817,17.9402,36.77789,
ss,1.98,GA,24,0,2,44.40511,1.221777,21.44914,52.3772,68.991,17.999,38.39094,
ss,1.98,GA,25,0,2,47.74368,1.221916,21.18878,52.221,69.216,18.057,42.12938,
ss,1.98,GA,26,0,2,43.80121,1.22176,21.55857,52.4143,69.12,18.0717,37.53837,
ss,1.98,GA,27,0,2,44.85559,1.221787,21.45392,52.3974,69.078,18.0367,38.78242,
ss,1.98,GA,28,0,2,44.91907,1.221749,21.51411,52.4281,68.86,17.9401,38.03879,
ss,1.98,GA,29,0,1,43.98758,1.221866,21.33349,52.3104,69.535,18.2308,39.70744,
ss,1.98,GWO,0,0,2,48.64991,1.221942,21.12881,52.2009,69.225,18.0454,42.79448,
ss,1.98,GWO,1,0,2,47.95244,1.221933,21.12897,52.2099,69.196,18.0349,42.47523,
ss,1.98,GWO,2,0,2,47.98073,1.221917,21.16892,52.2174,69.167,18.0329,42.24708,
ss,1.98,GWO,3,0,2,47.61372,1.221922,21.16388,52.2155,69.185,18.034,42.19492,
ss,1.98,GWO,4,0,2,48.08446,1.221932,21.12402,52.2128,69.196,18.0379,42.50776,
ss,1.98,GWO,5,0,2,48.39562,1.221937,21.12394,52.2065,69.213,18.0445,42.65561,
ss,1.98,GWO,6,0,2,48.12555,1.221921,21.18373,52.2126,69.176,18.0314,42.33587,
ss,1.98,GWO,7,0,2,47.64643,1.221928,21.12905,52.2145,69.194,18.0374,42.32149,
ss,1.98,GWO,8,0,2,45.85013,1.221906,21.07487,52.2588,69.124,18.0086,41.38639,
ss,1.98,GWO,9,0,2,47.9772,1.221918,21.16891,52.2172,69.166,18.0325,42.25363,
ss,1.98,GWO,10,0,2,47.90803,1.22192,21.15895,52.2183,69.173,18.0338,42.27298,
ss,1.98,GWO,11,0,2,47.69799,1.22192,21.16887,52.2208,69.175,18.0298,42.19609,
ss,1.98,GWO,12,0,2,48.56693,1.221946,21.1089,52.2015,69.245,18.054,42.83932,
ss,1.98,GWO,13,0,2,47.9462,1.221916,21.17886,52.2197,69.175,18.0374,42.21446,
ss,1.98,GWO,14,0,2,47.95046,1.221919,21.15897,52.2171,69.168,18.032,42.27291,
ss,1.98,GWO,15,0,2,48.1592,1.221929,21.13896,52.2119,69.19,18.0371,42.48128,
ss,1.98,GWO,16,0,2,48.23469,1.221924,21.15888,52.2123,69.187,18.0387,42.42733,
ss,1.98,GWO,17,0,2,47.81051,1.221925,21.13407,52.2189,69.18,18.034,42.31926,
ss,1.98,GWO,18,0,2,47.92405,1.221933,21.12897,52.2112,69.207,18.0406,42.45662,
ss,1.98,GWO,19,0,2,48.14949,1.22193,21.13398,52.212,69.19,18.0373,42.48439,
ss,1.98,GWO,20,0,2,47.87635,1.221919,21.16393,52.22,69.166,18.0287,42.24116,
ss,1.98,GWO,21,0,2,48.36436,1.221935,21.13885,52.2091,69.203,18.0376,42.61363,
ss,1.98,GWO,22,0,2,48.00958,1.221914,21.18385,52.2182,69.167,18.0349,42.21083,
ss,1.98,GWO,23,0,2,47.94264,1.221929,21.14888,52.2146,69.193,18.0337,42.40121,
ss,1.98,GWO,24,0,2,47.95034,1.221919,21.15897,52.2171,69.168,18.032,42.27273,
ss,1.98,GWO,25,0,2,48.14894,1.221929,21.134,52.2121,69.191,18.0373,42.48407,
ss,1.98,GWO,26,0,2,47.71609,1.221924,21.13904,52.2239,69.199,18.0429,42.26587,
ss,1.98,GWO,27,0,2,48.99129,1.221943,21.13871,52.2022,69.248,18.0547,42.9023,
ss,1.98,GWO,28,0,2,47.88421,1.221914,21.18385,52.2231,69.18,18.0388,42.15497,
ss,1.98,GWO,29,0,2,47.97496,1.221917,21.16892,52.2173,69.167,18.0327,42.25232,
ss,1.98,PSO,0,0,2,27.13424,1.222072,22.9615,52.2776,64.056,29.2821,28.27368,
ss,1.98,PSO,1,0,3,50.21436,1.222095,20.83853,52.1031,69.538,18.1222,46.24117,
ss,1.98,PSO,2,0,3,49.08036,1.221964,21.06891,52.1908,69.278,18.0606,43.24214,
ss,1.98,PSO,3,0,3,50.21927,1.222132,20.74864,52.0793,69.626,18.1381,46.89961,
ss,1.98,PSO,4,0,2,47.88967,1.221922,21.14404,52.2177,69.172,18.0325,42.29741,
ss,1.98,PSO,5,0,1,45.09678,1.221831,23.07515,52.4342,66.467,19.8203,27.51556,
ss,1.98,PSO,6,0,3,50.07387,1.221982,21.04877,52.1808,69.294,18.067,43.74331,
ss,1.98,PSO,7,0,3,49.80573,1.221975,21.05881,52.1832,69.281,18.0627,43.57921,
ss,1.98,PSO,8,0,3,50.22774,1.222135,20.73867,52.0781,69.62,18.1362,47.02012,
ss,1.98,PSO,9,0,2,49.25819,1.221348,23.22322,52.4817,67.962,18.0327,36.39366,
ss,1.98,PSO,10,0,3,50.22716,1.22214,20.73363,52.0736,69.624,18.1378,47.16018,
ss,1.98,PSO,11,0,3,50.19846,1.222058,20.91851,52.1267,69.455,18.107,45.52735,
ss,1.98,PSO,12,0,3,50.21387,1.222124,20.76861,52.0844,69.608,18.1336,46.74146,
ss,1.98,PSO,13,0,2,45.3862,1.221855,21.20472,52.2974,69.029,17.9849,40.38703,
ss,1.98,PSO,14,0,3,49.88239,1.221972,21.06878,52.1825,69.277,18.062,43.55473,
ss,1.98,PSO,15,0,3,50.22667,1.222136,20.73865,52.0816,69.623,18.1364,47.02576,
ss,1.98,PSO,16,0,3,50.22581,1.222135,20.73867,52.0824,69.623,18.1365,47.02352,
ss,1.98,PSO,17,0,2,44.83132,1.221747,21.50919,52.4037,68.815,17.9186,37.99852,
ss,1.98,PSO,18,0,3,50.11816,1.221997,21.00387,52.171,69.326,18.0762,43.97503,
ss,1.98,PSO,19,0,2,45.77344,1.221895,21.0949,52.2681,69.094,17.9996,41.19737,
ss,1.98,PSO,20,0,2,48.43718,1.221934,21.13887,52.2068,69.212,18.0455,42.62513,
ss,1.98,PSO,21,0,3,50.22333,1.222116,20.78362,52.0908,69.589,18.1301,46.63582,
ss,1.98,PSO,22,0,3,50.21387,1.222124,20.76861,52.0844,69.608,18.1336,46.74146,
ss,1.98,PSO,23,0,3,50.2012,1.222112,20.80849,52.0913,69.588,18.1318,46.54382,
ss,1.98,PSO,24,0,2,50.0207,1.221777,21.78149,52.5399,69.246,18.109,43.5811,
ss,1.98,PSO,25,0,3,50.19954,1.222048,20.9286,52.1368,69.43,18.1008,45.24109,
ss,1.98,PSO,26,0,3,48.96924,1.221952,21.09392,52.1971,69.244,18.05,43.03778,
