corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
tt,1.62,ABC,0,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,1,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,2,0,2,24.73085,1.220815,24.53403,50.3953,68.64,20.2069,41.02132,
tt,1.62,ABC,3,0,1,25.09742,1.220563,23.78435,51.4985,68.936,19.4304,42.77099,
tt,1.62,ABC,4,0,1,26.64763,1.220664,23.73274,51.2629,68.857,19.3015,42.65195,
tt,1.62,ABC,5,0,1,25.63241,1.220703,23.70715,51.279,68.848,19.3616,43.35604,
tt,1.62,ABC,6,0,1,26.62893,1.220587,24.02222,51.2722,68.99,19.5078,41.26639,
tt,1.62,ABC,7,0,2,33.56105,1.220695,24.46197,48.7313,69.097,20.2652,38.02354,
tt,1.62,ABC,8,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,9,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,10,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,11,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,12,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,13,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,14,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,15,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,16,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,17,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,18,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,19,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,20,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,21,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,22,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,23,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,24,0,6,-200.0,,,,,,,timeout
tt,1.62,ABC,25,0,6,-200.0,,,,,,,timeout
