algo,run,conditions,n_feasible,worst_objective,worst_penalty,nominal_feasible,robust
ABC,0,15,0,-200.0,6,0,0
ABC,1,15,1,-200.0,6,0,0
ABC,2,15,1,-200.0,6,0,0
ABC,3,15,1,-200.0,6,0,0
ABC,4,15,1,-200.0,6,0,0
ABC,5,15,1,-200.0,6,0,0
ABC,6,15,0,-200.0,6,0,0
ABC,7,15,0,-200.0,6,0,0
ABC,8,15,0,-200.0,6,0,0
ABC,9,15,0,-200.0,6,0,0
ABC,10,15,0,-200.0,6,0,0
ABC,11,15,0,-200.0,6,0,0
ABC,12,15,0,-200.0,6,0,0
ABC,13,15,0,-200.0,6,0,0
ABC,14,15,0,-200.0,6,0,0
ABC,15,15,0,-200.0,6,0,0
ABC,16,15,0,-200.0,6,0,0
ABC,17,15,0,-200.0,6,0,0
ABC,18,15,0,-200.0,6,0,0
ABC,19,15,0,-200.0,6,0,0
ABC,20,15,0,-200.0,6,0,0
ABC,21,15,0,-200.0,6,0,0
ABC,22,15,0,-200.0,6,0,0
ABC,23,15,0,-200.0,6,0,0
ABC,24,15,0,-200.0,6,0,0
ABC,25,15,0,-200.0,6,0,0
ABC,26,15,0,-200.0,6,0,0
ABC,27,15,0,-200.0,6,0,0
ABC,28,15,0,-200.0,6,0,0
ABC,29,15,0,-200.0,6,0,0
ACO,0,15,0,-200.0,6,0,0
ACO,1,15,0,-200.0,6,0,0
ACO,2,15,0,-200.0,6,0,0
ACO,3,15,0,-200.0,6,0,0
ACO,4,15,0,-200.0,6,0,0
ACO,5,15,0,-200.0,6,0,0
ACO,6,15,0,-200.0,6,0,0
ACO,7,15,0,-200.0,6,0,0
ACO,8,15,0,-200.0,6,0,0
ACO,9,15,0,-200.0,6,0,0
ACO,10,15,0,-200.0,6,0,0
ACO,11,15,0,-200.0,6,0,0
ACO,12,15,0,-200.0,6,0,0
ACO,13,15,0,-200.0,6,0,0
ACO,14,15,0,-200.0,6,0,0
ACO,15,15,0,-200.0,6,0,0
ACO,16,15,0,-200.0,6,0,0
ACO,17,15,1,-200.0,6,1,0
ACO,18,15,0,-200.0,6,0,0
ACO,19,15,1,-200.0,6,1,0
ACO,20,15,1,-200.0,6,1,0
ACO,21,15,0,-200.0,6,0,0
