run,ABC,GWO,FA,PSO,GA,ACO
0,-42.21425,-49.52014,982.84554,-37.91695,-37.29649,-39.84891
1,-44.43282,-45.12431,980.45867,-61.66688,-38.59704,-35.88151
2,-39.31501,-45.75756,-20.17896,961.31557,-35.7079,-37.68122
3,-32.93699,-57.87298,-12.63115,-44.95581,969.0072,-41.70138
4,-51.16225,-53.77309,974.36679,-49.63272,-49.4943,-45.10212
5,-46.97758,-44.27276,979.42979,-32.24534,959.88555,-41.88214
6,-44.13199,-46.13914,977.94737,-51.22,-52.07185,-33.7351
7,-38.79344,-46.40885,983.77164,-65.40956,967.13998,-35.26925
8,-46.81368,-52.50005,-20.22083,-53.76882,-47.41982,-32.34556
9,-49.38662,-52.44396,976.67289,-28.83927,948.83983,-40.10248
10,-52.39239,-53.59798,978.42774,942.33782,961.99783,-40.10303
11,-46.2911,-59.49401,976.38653,-48.26963,960.65821,-38.1732
12,-36.09009,-54.6089,1987.02582,972.17393,-57.85176,-36.78849
13,-50.27984,-56.13946,975.03909,-44.92288,-49.15527,-23.01293
14,-43.94624,-77.11004,-19.59531,-56.78208,-50.31788,-35.94342
15,-41.25968,-47.07084,-22.31573,-22.57857,-33.73181,-28.97496
16,-38.74791,-53.92827,981.23066,-41.65935,-38.50081,-33.47228
17,-47.43944,-58.71874,979.10944,952.52218,-47.91023,-42.74176
18,-38.98056,-56.50725,975.36155,-48.75943,-50.35854,-44.70565
19,-42.4773,-47.39507,-24.88724,-29.63221,-46.61367,-49.08733
20,-51.64451,-61.02371,2979.94838,955.58911,1964.56942,-42.46078
21,-41.64617,-55.95669,-22.67453,-62.80057,955.04499,-38.09178
22,-48.35521,-51.36598,972.39529,944.78852,962.66086,-28.61324
23,-42.29429,-55.95636,-18.82677,-48.40971,956.60628,-48.01581
24,-29.05696,-69.95928,-30.76039,972.11709,-47.12695,-43.21036
25,-45.12836,-45.95195,-20.71864,-59.90555,-46.46568,-38.93256
26,-35.66615,-54.25505,-22.96791,-35.35512,960.20964,-37.69563
27,-46.24753,-46.15974,-22.28858,-27.13529,-26.39894,-39.63912
28,-45.42645,-52.49724,974.72796,974.17216,-23.86225,-27.34628
29,-40.4342,-51.69384,-20.70281,-65.15739,-37.10019,-35.13649
