case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_r_wdiff,x_l_pdiff,x_r_ldiff,x_w_ncasc,x_r_wcasc,x_l_ncasc,x_r_lcasc,x_w_pmir,x_r_wmir,x_l_pmir,x_r_lmir,x_w_pass,x_l_pass,x_iss,x_vbnv,xf_w_pdiff,xf_r_wdiff,xf_l_pdiff,xf_r_ldiff,xf_w_ncasc,xf_r_wcasc,xf_l_ncasc,xf_r_lcasc,xf_w_pmir,xf_r_wmir,xf_l_pmir,xf_r_lmir,xf_w_pass,xf_l_pass,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
highdim,SKY130-BGR-highdim,16,0,312345,ABC,40,-42.21425,42.21425,0,1,1.219874,5.415363,51.3699,63.897000000000006,22.5171,26.93135,0,0,0,0,0,0,5887.0,1,-42.21425,42.21425,1.219874,5.415363,51.3699,63.897000000000006,22.5171,26.93135,23747.605044860396,220000,220000,114230.0,6.807289618670994,220001,161803,measure_failed=50284;no_convergence=7914,0,PSRR_worst_case_10Hz_10MHz,42.21425,42.58307,42.21425,42.58307,1,11.185,1.2039727618893257,0.98,1.1204446984016077,1.0,0.9178916172458312,0.36,0.5,15.605,1.502496447817112,0.785,1.2430197675969716,36.68,1.1749999999999998,2.937917017150093,1.3376394251772945,11.185,1.2039727618893257,0.98,1.1204446984016077,1.0,0.9178916172458312,0.36,0.5,15.605,1.502496447817112,0.785,1.2430197675969716,36.68,1.1749999999999998,2.937917017150093,1.3376394251772945,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,1,313345,ABC,40,-44.43282,44.43282,0,1,1.221373,18.67248,51.6949,70.893,27.1406,31.30727,0,0,0,0,0,0,10107.0,1,-44.43282,44.43282,1.221373,18.67248,51.6949,70.893,27.1406,31.30727,24188.02861181088,220000,220000,164247.0,11.958085129386944,220001,163882,measure_failed=47513;no_convergence=8606,0,PSRR_worst_case_10Hz_10MHz,44.43282,52.5943,44.43282,52.5943,1,7.35,0.9553797276345962,1.055,0.9320643495394288,1.0,0.8217516858316786,0.27,0.5555555555555555,6.2700000000000005,1.5715647791649603,7.725,1.6853425099669646,32.835,0.185,4.437518809587377,1.084765499026242,7.35,0.9553797276345962,1.055,0.9320643495394288,1.0,0.8217516858316786,0.27,0.5555555555555555,6.2700000000000005,1.5715647791649603,7.725,1.6853425099669646,32.835,0.185,4.437518809587377,1.084765499026242,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,2,314345,ABC,40,-39.31501,39.31501,0,1,1.218905,9.501822,62.9984,60.05,22.5043,50.272,0,0,0,0,0,0,23372.0,1,-39.31501,39.31501,1.218905,9.501822,62.9984,60.05,22.5043,50.272,24778.90507663228,220000,220000,128553.0,79.96888431278776,220001,167723,measure_failed=44291;no_convergence=7987,0,PSRR_worst_case_10Hz_10MHz,39.31501,39.31501,39.31501,39.31501,1,6.98,1.6444343229050236,0.99,1.0690778700832673,1.52,1.997300254086181,0.15,1.0,2.81,0.5992567646020341,5.29,1.1724824081560876,38.405,1.11,11.053538117527204,0.906294440082136,6.98,1.6444343229050236,0.99,1.0690778700832673,1.52,1.997300254086181,0.15,1.0,2.81,0.5992567646020341,5.29,1.1724824081560876,38.405,1.11,11.053538117527204,0.906294440082136,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,3,315345,ABC,40,-32.93699,32.93699,0,1,1.219725,24.13361,50.9107,71.164,21.339,35.14743,0,0,0,0,0,0,20567.0,1,-32.93699,32.93699,1.219725,24.13361,50.9107,71.164,21.339,35.14743,28446.803262507543,220000,220000,46528.0,65.48075908226858,220001,163283,measure_failed=41428;no_convergence=15290,0,PSRR_worst_case_10Hz_10MHz,32.93699,32.93741,32.93699,32.93741,1,12.01,1.17892526448724,0.92,1.1387889183807556,9.88,0.5,0.2249999999999999,0.6666666666666667,40.0,1.5633790206194504,8.0,1.4110679945593532,39.59,0.4,5.791436949448824,0.9123444010042908,12.01,1.17892526448724,0.92,1.1387889183807556,9.88,0.5,0.2249999999999999,0.6666666666666667,40.0,1.5633790206194504,8.0,1.4110679945593532,39.59,0.4,5.791436949448824,0.9123444010042908,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,4,316345,ABC,40,-51.16225,51.16225,0,1,1.219588,25.11529,50.4085,70.607,24.9516,26.33863,0,0,0,0,0,0,6749.0,1,-51.16225,51.16225,1.219588,25.11529,50.4085,70.607,24.9516,26.33863,24243.240788515657,220000,220000,40292.0,-8.149195137046073,220001,162255,measure_failed=43277;no_convergence=14469,0,PSRR_worst_case_10Hz_10MHz,51.16225,51.97632,51.16225,51.97632,1,8.725000000000001,1.0173820395431166,1.03,1.095128938873038,1.0,2.0,0.28,0.5357142857142857,1.0,0.8067114226669239,3.935,0.7139464343182211,8.0,2.46,2.7373310876353325,1.0694057206738337,8.725000000000001,1.0173820395431166,1.03,1.095128938873038,1.0,2.0,0.28,0.5357142857142857,1.0,0.8067114226669239,3.935,0.7139464343182211,8.0,2.46,2.7373310876353325,1.0694057206738337,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,5,317345,ABC,40,-46.97758,46.97758,0,1,1.22004,14.22209,56.7594,60.011,17.4193,53.65373,0,0,0,0,0,0,93650.0,1,-46.97758,46.97758,1.22004,14.22209,56.7594,60.011,17.4193,53.65373,25419.53381774202,220000,220000,112549.0,387.2252668192083,220001,168128,measure_failed=38291;no_convergence=13582,0,PSRR_worst_case_10Hz_10MHz,46.97758,46.97758,46.97758,46.97758,1,6.985,1.1213034517156868,0.7150000000000001,0.9877892118023476,3.325,2.0,0.265,0.5660377358490566,2.295,0.8359153554143556,1.555,1.057592508286001,29.635,0.975,12.214553679665451,0.9,6.985,1.1213034517156868,0.7150000000000001,0.9877892118023476,3.325,2.0,0.265,0.5660377358490566,2.295,0.8359153554143556,1.555,1.057592508286001,29.635,0.975,12.214553679665451,0.9,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,6,318345,ABC,40,-44.13199,44.13199,0,1,1.221191,25.92601,51.6144,72.915,30.582,32.54018,0,0,0,0,0,0,9863.0,1,-44.13199,44.13199,1.221191,25.92601,51.6144,72.915,30.582,32.54018,24619.35934444517,220000,220000,27086.0,18.62699959995272,220001,162523,measure_failed=45225;no_convergence=12253,0,PSRR_worst_case_10Hz_10MHz,44.13199,44.13199,44.13199,44.13199,1,9.44,1.0679403647728154,0.4,0.9686873058402892,1.0,1.4309120275533926,0.7050000000000001,0.7277846747056589,3.355,1.1346204129451771,3.36,1.3605823432917077,10.26,3.825,4.872260859627723,0.9625346335744908,9.44,1.0679403647728154,0.4,0.9686873058402892,1.0,1.4309120275533926,0.7050000000000001,0.7277846747056589,3.355,1.1346204129451771,3.36,1.3605823432917077,10.26,3.825,4.872260859627723,0.9625346335744908,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,7,319345,ABC,40,-38.79344,38.79344,0,1,1.220663,15.21776,51.8061,80.7553,24.7189,29.32011,0,0,0,0,0,0,11214.0,1,-38.79344,38.79344,1.220663,15.21776,51.8061,80.7553,24.7189,29.32011,25913.17223472148,220000,220000,111505.0,36.82108080504342,220001,165446,measure_failed=45096;no_convergence=9459,0,PSRR_worst_case_10Hz_10MHz,38.79344,38.80004,38.79344,38.80004,1,8.205,1.2881622073922427,0.7250000000000001,0.9919931271302967,1.515,1.263844310630757,0.22,0.6818181818181818,1.02,0.8126828684151379,1.565,1.2592076434556383,19.665,1.92,3.758942736461244,1.2648768730909543,8.205,1.2881622073922427,0.7250000000000001,0.9919931271302967,1.515,1.263844310630757,0.22,0.6818181818181818,1.02,0.8126828684151379,1.565,1.2592076434556383,19.665,1.92,3.758942736461244,1.2648768730909543,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,8,320345,ABC,40,-46.81368,46.81368,0,1,1.220963,23.29507,53.0305,65.095,17.3768,54.94716,0,0,0,0,0,0,4852.0,1,-46.81368,46.81368,1.220963,23.29507,53.0305,65.095,17.3768,54.94716,27505.234638089318,220000,220000,84615.0,-14.068676784267202,220001,158212,measure_failed=41030;no_convergence=20759,0,PSRR_worst_case_10Hz_10MHz,46.81368,46.81368,46.81368,46.81368,1,11.02,1.5010489481791565,0.29,1.01276344669736,5.255,1.5267484106924365,0.245,2.0,32.92,1.130946101913873,6.550000000000001,1.896523450663796,29.095,0.275,12.651482568606747,1.2023387424220695,11.02,1.5010489481791565,0.29,1.01276344669736,5.255,1.5267484106924365,0.245,2.0,32.92,1.130946101913873,6.550000000000001,1.896523450663796,29.095,0.275,12.651482568606747,1.2023387424220695,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,9,321345,ABC,40,-49.38662,49.38662,0,1,1.221364,12.13249,51.5188,75.042,21.3641,43.36848,0,0,0,0,0,0,92702.0,1,-49.38662,49.38662,1.221364,12.13249,51.5188,75.042,21.3641,43.36848,24986.31326647103,220000,220000,107344.0,391.96290847210673,220001,149308,measure_failed=50096;no_convergence=20597,0,PSRR_worst_case_10Hz_10MHz,49.38662,49.38662,49.38662,49.38662,1,5.625,1.0579096982711893,0.3399999999999999,0.9843518266424416,1.42,0.902451138317194,0.195,0.9186488100550292,1.0,0.8601901731862603,1.38,1.035915537405064,17.345,1.815,8.62871863281321,0.9,5.625,1.0579096982711893,0.3399999999999999,0.9843518266424416,1.42,0.902451138317194,0.195,0.9186488100550292,1.0,0.8601901731862603,1.38,1.035915537405064,17.345,1.815,8.62871863281321,0.9,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,10,322345,ABC,40,-52.39239,52.39239,0,1,1.219907,23.98096,52.1774,61.94799999999999,14.2427,46.33216,0,0,0,0,0,0,3592.0,1,-52.39239,52.39239,1.219907,23.98096,52.1774,61.94799999999999,14.2427,46.33216,23932.161280939355,220000,220000,210017.0,-22.18001648976814,220001,151269,measure_failed=49925;no_convergence=18807,0,PSRR_worst_case_10Hz_10MHz,52.39239,52.39239,52.39239,52.39239,1,7.605,2.0,0.965,1.2512512945377048,3.52,1.837495006902957,0.15,1.0,1.33,1.6495003027547517,0.615,1.906607066245823,10.555,1.405,9.674883228400484,1.0385661843822118,7.605,2.0,0.965,1.2512512945377048,3.52,1.837495006902957,0.15,1.0,1.33,1.6495003027547517,0.615,1.906607066245823,10.555,1.405,9.674883228400484,1.0385661843822118,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
highdim,SKY130-BGR-highdim,16,11,323345,ABC,40,-46.2911,46.2911,0,1,1.220164,25.95776,52.2972,69.742,27.4841,36.7835,0,0,0,0,0,0,3116.0,1,-46.2911,46.2911,1.220164,25.95776,52.2972,69.742,27.4841,36.7835,24297.067707236856,220000,220000,10840.0,-20.456034396658623,220001,163304,measure_failed=40484;no_convergence=16213,0,PSRR_worst_case_10Hz_10MHz,46.2911,46.2911,46.2911,46.2911,1,3.44,1.017057402339651,1.26,1.0243735055250194,1.13,2.0,0.15,1.2266929071048327,1.22,0.8698755115474506,2.935,0.8858473988167737,8.54,1.82,6.356862609572991,1.0343793547261106,3.44,1.017057402339651,1.26,1.0243735055250194,1.13,2.0,0.15,1.2266929071048327,1.22,0.8698755115474506,2.935,0.8858473988167737,8.54,1.82,6.356862609572991,1.0343793547261106,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
