corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
ff,1.98,ABC,0,0,2,37.12579,1.232369,47.03432,51.5958,63.979,22.94,27.36794,
ff,1.98,ABC,1,0,1,26.14244,1.221795,18.64619,50.7515,71.734,27.775,31.3394,
ff,1.98,ABC,2,0,1,35.69316,1.22088,37.47918,63.0583,60.066,22.3827,50.35516,
ff,1.98,ABC,3,0,6,-200.0,,,,,,,timeout
ff,1.98,ABC,4,0,1,36.55968,1.218651,51.28373,50.9445,70.281,24.9146,26.32405,
ff,1.98,ABC,5,1,0,40.79683,1.219849,23.45546,56.194,60.285,17.4207,53.66421,
ff,1.98,ABC,6,1,0,35.47591,1.218464,22.99467,53.2309,72.8,30.7857,32.46547,
ff,1.98,ABC,7,1,0,38.08917,1.218601,24.4493,52.5062,80.7813,24.6568,29.26773,
ff,1.98,ABC,8,0,2,41.60679,1.230714,23.18437,53.1815,66.164,17.6087,55.29197,
ff,1.98,ABC,9,0,1,45.50208,1.216656,16.11969,51.4638,75.225,21.3965,43.22727,
ff,1.98,ABC,10,0,3,37.40014,1.256234,79.67055,52.5856,61.875,13.8871,47.57051,
ff,1.98,ABC,11,0,1,46.16044,1.217822,23.10135,52.3181,69.587,27.2905,36.72175,
ff,1.98,ABC,12,0,2,35.45107,1.213659,5046.24,50.233,67.509,36.8265,22.42534,
ff,1.98,ABC,13,0,2,30.94088,1.223245,33.89891,55.7651,60.355999999999995,25.5823,39.67661,
ff,1.98,ABC,14,0,1,37.04773,1.221753,23.12623,52.5077,61.42100000000001,15.1202,30.67637,
ff,1.98,ABC,15,0,1,36.43609,1.220956,28.50722,56.4211,64.075,23.1909,26.50372,
ff,1.98,ABC,16,0,2,28.46543,1.22166,31.96346,55.3477,66.084,28.5094,25.84613,
ff,1.98,ABC,17,0,2,37.72403,1.230199,28.1748,53.7022,60.30500000000001,31.2256,43.59379,
ff,1.98,ABC,18,0,1,37.18792,1.232786,9.060532,56.833,70.752,20.8684,39.08146,
ff,1.98,ABC,19,0,2,36.46704,1.217765,33.70307,52.6009,63.652,20.1477,43.02527,
ff,1.98,ABC,20,0,1,39.06792,1.225163,17.61547,53.942,69.732,24.2787,26.47076,
ff,1.98,ABC,21,0,3,18.45613,1.231026,87.33784,49.081,62.917,22.7806,34.98282,
ff,1.98,ABC,22,0,2,43.25312,1.226477,30.47902,54.1611,60.80800000000001,27.634,40.37616,
ff,1.98,ABC,23,0,2,34.78407,1.226279,26.5153,53.6041,69.254,29.127,26.76694,
ff,1.98,ABC,24,0,2,26.57305,1.217378,35.73502,58.5972,62.259,14.4243,38.82618,
ff,1.98,ABC,25,0,6,-200.0,,,,,,,no_convergence
ff,1.98,ABC,26,0,2,27.85554,1.217123,13.22543,51.0839,59.3,14.3057,44.36591,
ff,1.98,ABC,27,0,1,44.49222,1.217221,16.72463,56.2818,61.157,18.5775,35.09824,
ff,1.98,ABC,28,0,1,39.12514,1.22851,19.15106,51.4764,65.793,19.2335,50.85493,
ff,1.98,ABC,29,0,2,21.46683,1.257735,48.03729,54.9658,60.406000000000006,21.4755,54.09171,
ff,1.98,ACO,0,0,2,36.27555,1.228895,42.68432,56.5557,65.82,20.7306,31.86369,
ff,1.98,ACO,1,0,2,34.98134,1.281295,72.43618,54.6446,64.993,23.5357,53.25968,
ff,1.98,ACO,2,0,1,32.57132,1.221743,12.98195,55.046,72.544,22.2473,44.28031,
ff,1.98,ACO,3,0,2,25.79478,1.226079,61.20027,50.402,68.645,22.7794,34.45663,
ff,1.98,ACO,4,0,1,34.69177,1.219552,55.04754,51.9353,62.566,22.6971,46.34464,
ff,1.98,ACO,5,0,1,36.1098,1.222002,22.97769,52.7041,75.088,27.9664,38.04424,
ff,1.98,ACO,6,0,1,33.97759,1.224348,23.38412,58.3473,75.699,27.4663,32.06624,
ff,1.98,ACO,7,0,3,28.74065,1.228449,27.57357,48.713,71.472,25.0122,41.61825,
ff,1.98,ACO,8,0,1,34.72838,1.226855,11.60395,57.7832,70.566,29.6594,29.92482,
ff,1.98,ACO,9,0,2,37.63521,1.224365,34.33815,53.9273,69.037,20.7268,49.50502,
ff,1.98,ACO,10,0,1,40.21441,1.223297,10.8351,50.0336,71.854,28.9612,35.14549,
ff,1.98,ACO,11,0,1,36.64669,1.224283,22.64776,54.5822,63.906000000000006,19.7508,40.239,
ff,1.98,ACO,12,0,1,29.22374,1.224641,23.68041,54.9962,75.346,25.9049,45.4523,
ff,1.98,ACO,13,0,2,25.51999,1.217038,33.9473,58.1127,81.3458,28.6839,32.84969,
ff,1.98,ACO,14,0,2,30.9161,1.216826,34.46622,52.8987,79.179,22.7686,36.87649,
ff,1.98,ACO,15,0,2,31.94086,1.250721,45.19575,51.2814,62.337,30.9785,30.84806,
ff,1.98,ACO,16,0,1,33.72163,1.225849,11.12402,51.4701,72.584,33.1143,29.05146,
ff,1.98,ACO,17,0,1,37.67937,1.222257,12.65914,58.7562,60.447,21.5804,41.70508,
ff,1.98,ACO,18,0,2,21.9619,1.225638,153.1571,50.3766,68.413,22.9117,43.82986,
ff,1.98,ACO,19,0,1,39.25745,1.221498,14.89974,59.034,66.858,21.342,41.98127,
ff,1.98,ACO,20,1,0,42.74142,1.218557,10.79767,51.5244,80.9469,28.6451,34.55492,
ff,1.98,ACO,21,0,1,36.04957,1.229869,25.49668,60.763,66.688,27.0394,34.97683,
ff,1.98,ACO,22,0,1,31.27211,1.254975,24.8852,51.8079,74.621,35.0151,26.35459,
ff,1.98,ACO,23,0,1,44.92712,1.223209,13.95733,54.9853,63.878,20.7712,53.46769,
