corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
fs,1.98,ABC,0,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,1,1,0,30.65147,1.219673,10.34058,51.7951,71.636,26.9814,31.23122,
fs,1.98,ABC,2,0,6,-200.0,,,,,,,timeout
fs,1.98,ABC,3,0,2,28.97024,1.239117,31.46424,51.3408,71.74,21.5311,35.7795,
fs,1.98,ABC,4,0,1,36.43206,1.221308,39.6743,51.2547,70.11,25.1561,26.37662,
fs,1.98,ABC,5,1,0,45.81814,1.220792,18.86505,56.4539,60.459,17.4929,53.65926,
fs,1.98,ABC,6,1,0,36.13597,1.221354,24.76139,53.545,72.713,30.7859,32.52586,
fs,1.98,ABC,7,0,1,37.87234,1.223887,16.98018,53.3136,80.7635,24.7744,29.4086,
fs,1.98,ABC,8,0,2,36.71137,1.235459,24.72888,53.5678,65.799,17.189,55.41485,
fs,1.98,ABC,9,0,1,46.20583,1.217391,10.04632,52.1132,75.238,21.4374,43.21534,
fs,1.98,ABC,10,0,3,37.86059,1.286562,36.60684,53.2211,61.834,13.6704,48.55604,
fs,1.98,ABC,11,0,1,45.83911,1.21994,26.00724,52.5372,69.616,27.3236,36.75623,
fs,1.98,ABC,12,0,6,-200.0,,,,,,,measure_failed
fs,1.98,ABC,13,0,1,45.88068,1.226585,24.39392,55.773,60.497,25.5043,39.75221,
fs,1.98,ABC,14,0,2,37.30047,1.228284,29.53122,53.1301,61.132000000000005,15.1513,30.85922,
fs,1.98,ABC,15,0,1,35.58827,1.221636,24.2298,56.6417,64.022,23.2871,26.48999,
fs,1.98,ABC,16,0,2,27.37606,1.223481,29.75613,55.2723,66.285,28.1814,25.87075,
fs,1.98,ABC,17,0,1,37.13058,1.227174,25.73046,54.0504,60.227999999999994,31.235,43.45553,
fs,1.98,ABC,18,0,1,39.1297,1.238751,9.026688,57.7313,70.688,20.9002,39.24535,
fs,1.98,ABC,19,1,0,40.71636,1.218749,25.13258,53.8479,62.173,19.4587,43.02144,
fs,1.98,ABC,20,0,1,39.2156,1.235345,4.847131,54.0902,69.548,24.2684,26.77626,
fs,1.98,ABC,21,0,1,27.9949,1.238838,21.4277,51.9742,60.69499999999999,20.9953,35.20755,
fs,1.98,ABC,22,0,1,40.39138,1.231593,24.98366,54.4831,61.031000000000006,27.5174,40.5115,
fs,1.98,ABC,23,0,1,40.5667,1.232568,22.01366,54.2567,68.941,29.297,26.94155,
fs,1.98,ABC,24,0,3,27.87842,1.228621,28.13699,58.6716,61.516000000000005,13.9281,39.16712,
fs,1.98,ABC,25,0,6,-200.0,,,,,,,no_convergence
fs,1.98,ABC,26,0,3,19.98907,1.223158,17.73848,56.5423,57.614999999999995,13.421,44.53195,
fs,1.98,ABC,27,0,2,43.98544,1.214635,3171.698,57.0569,61.129999999999995,18.8616,34.9749,
fs,1.98,ABC,28,0,1,31.81463,1.230588,24.35396,52.0437,65.783,18.9602,50.88821,
fs,1.98,ABC,29,0,2,21.50036,1.279301,29.50949,55.1868,60.575,21.5673,54.78181,
fs,1.98,ACO,0,0,1,37.78396,1.228366,10.38581,56.5533,65.825,20.7281,31.80928,
fs,1.98,ACO,1,0,1,32.70137,1.235483,15.24125,56.9391,64.505,23.1655,51.68005,
fs,1.98,ACO,2,0,1,32.05753,1.227567,13.45356,55.2357,72.444,21.9515,44.43939,
fs,1.98,ACO,3,0,2,34.75766,1.231711,58.32242,53.1084,67.051,20.8197,34.60802,
fs,1.98,ACO,4,0,2,44.62743,1.2221,31.65441,54.6456,60.944,20.8949,46.39237,
fs,1.98,ACO,5,0,1,39.89853,1.234337,20.22924,53.2432,75.011,27.8338,38.42195,
fs,1.98,ACO,6,0,2,33.9186,1.232363,27.63845,58.7821,75.635,27.611,32.29891,
fs,1.98,ACO,7,0,1,35.12273,1.234425,8.420066,51.2035,70.356,22.9946,41.78122,
fs,1.98,ACO,8,0,1,35.42929,1.235927,10.01824,57.9514,70.524,29.5869,30.19302,
fs,1.98,ACO,9,0,1,40.16016,1.226813,23.58908,54.1648,68.912,20.4909,49.55071,
fs,1.98,ACO,10,0,1,39.45192,1.232008,10.61583,51.9247,71.682,28.6288,35.40145,
fs,1.98,ACO,11,0,1,33.61691,1.229938,21.00623,54.6366,63.916,19.687,40.39236,
fs,1.98,ACO,12,0,1,30.09586,1.231261,19.16242,55.1743,75.364,25.9104,45.63805,
fs,1.98,ACO,13,0,1,25.82036,1.21998,27.94383,58.3755,81.3188,28.8046,32.91179,
fs,1.98,ACO,14,0,1,32.17169,1.225387,9.011377,52.9221,79.191,22.8096,37.12729,
fs,1.98,ACO,15,0,1,32.18762,1.231183,19.8971,53.4442,60.111999999999995,29.8349,30.15428,
fs,1.98,ACO,16,0,1,34.69871,1.231428,13.81988,51.8797,72.455,33.0595,29.20221,
fs,1.98,ACO,17,0,1,43.21935,1.22975,11.8674,59.162,60.482,21.2533,41.92016,
fs,1.98,ACO,18,0,2,28.48381,1.230501,69.21546,53.8135,66.64,20.8632,43.95539,
fs,1.98,ACO,19,0,2,39.73558,1.234574,29.29731,59.5983,66.766,20.7097,42.38384,
fs,1.98,ACO,20,0,1,42.46157,1.235141,6.12861,52.034,80.8313,28.4551,35.07532,
fs,1.98,ACO,21,0,1,35.84282,1.235105,17.18416,60.971,66.675,26.9529,35.11616,
fs,1.98,ACO,22,0,1,31.75075,1.241054,18.46427,51.9418,74.34,35.0172,25.84944,
fs,1.98,ACO,23,0,1,45.84948,1.230381,11.47218,55.0967,63.977999999999994,20.5475,53.67208,
fs,1.98,ACO,24,0,1,42.97469,1.226673,11.44757,50.5616,61.900999999999996,19.0621,54.63036,
fs,1.98,ACO,25,0,1,31.25564,1.225127,20.62371,54.8055,79.312,22.0056,48.33605,
fs,1.98,ACO,26,0,1,31.17165,1.222065,18.40402,52.5607,62.563,22.0356,32.85788,
fs,1.98,ACO,27,0,1,35.69593,1.231649,13.56644,56.1378,71.847,25.6708,38.65673,
fs,1.98,ACO,28,0,1,28.29689,1.260961,22.07552,52.8239,82.9386,23.1533,34.56841,
fs,1.98,ACO,29,0,2,38.51795,1.221954,38.77545,59.7455,68.992,28.1248,32.85274,
fs,1.98,FA,0,0,6,-200.0,,,,,,,no_convergence
fs,1.98,FA,1,0,3,21.39023,1.216328,43.69834,32.692,85.232,22.7911,39.40378,
fs,1.98,FA,2,0,2,21.66072,1.253063,35.79592,53.4877,61.548,25.1229,39.02985,
fs,1.98,FA,3,0,2,15.58944,1.224142,20.91261,49.8798,78.893,31.6767,28.02964,
fs,1.98,FA,4,0,2,26.40984,1.254452,138.2035,55.6627,64.202,15.7582,47.3852,
fs,1.98,FA,5,0,3,23.15631,1.224939,38.92835,42.8015,79.74,39.9994,23.21449,
fs,1.98,FA,6,0,2,23.45016,1.240711,93.39708,50.3201,85.1235,34.9796,31.48123,
fs,1.98,FA,7,0,2,18.7683,1.225723,107.7262,52.0007,82.7438,27.4248,30.71345,
fs,1.98,FA,8,0,2,21.79751,1.227162,47.45119,50.1709,86.5975,36.8099,26.06018,
fs,1.98,FA,9,0,2,24.96373,1.252269,6196.723,50.5235,83.7176,31.8601,29.49084,
fs,1.98,FA,10,0,1,23.1365,1.229961,25.96288,51.5652,85.4144,24.8967,35.78548,
fs,1.98,FA,11,0,1,23.72035,1.219558,5244.365,50.4722,82.5606,21.8668,53.46799,
fs,1.98,FA,12,0,3,1.194559,1.305207,415.1251,10.8519,96.7836,39.2723,28.17227,
fs,1.98,FA,13,0,2,26.26927,1.260264,5550.457,51.309,83.6132,22.2636,45.78703,
fs,1.98,FA,14,1,0,21.00406,1.218916,20.91277,50.6094,64.078,30.8765,33.14417,
fs,1.98,FA,15,0,1,23.96422,1.235005,8.803792,50.3453,62.331,26.3136,43.28303,
fs,1.98,FA,16,0,3,19.93305,1.226026,31.67662,42.9084,67.331,38.6201,21.92648,
fs,1.98,FA,17,0,2,23.68446,1.242509,155.526,51.7486,85.074,24.3991,54.01706,
fs,1.98,FA,18,0,2,25.32618,1.225752,229.0937,50.4551,81.4332,18.8273,49.08852,
fs,1.98,FA,19,0,2,24.62304,1.255721,32.50577,52.6738,82.2462,21.0945,37.84702,
