corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
ss,1.98,ABC,0,0,1,39.46541,1.211015,15.30897,51.641,63.444,22.5085,26.62598,
ss,1.98,ABC,1,1,0,36.22011,1.221381,15.55616,52.4803,70.704,26.5805,31.29896,
ss,1.98,ABC,2,0,2,36.58335,1.221736,16.25605,63.4385,59.831999999999994,22.352,50.35898,
ss,1.98,ABC,3,0,6,-200.0,,,,,,,timeout
ss,1.98,ABC,4,0,2,35.75301,1.22223,37.12042,51.2173,70.161,25.155,26.41925,
ss,1.98,ABC,5,0,2,42.78248,1.22226,16.03091,57.1349,59.638000000000005,17.2963,53.72021,
ss,1.98,ABC,6,0,1,34.51199,1.225025,23.88077,53.4927,72.423,30.6472,32.66084,
ss,1.98,ABC,7,0,1,33.79904,1.226997,15.8159,53.6969,80.5373,24.6611,29.52477,
ss,1.98,ABC,8,0,2,41.83476,1.214712,28.23465,53.4672,64.414,17.1554,54.729,
ss,1.98,ABC,9,0,1,46.08526,1.226799,13.47187,52.6171,74.733,21.4236,43.54295,
ss,1.98,ABC,10,0,6,-200.0,,,,,,,measure_failed
ss,1.98,ABC,11,0,2,45.08703,1.224457,29.54433,52.7007,69.462,27.4445,36.91958,
ss,1.98,ABC,12,0,2,33.35526,1.227238,36.08991,50.427,67.557,36.7323,22.85633,
ss,1.98,ABC,13,0,3,30.89523,1.217277,52.8502,55.5087,59.831999999999994,25.3909,39.45123,
ss,1.98,ABC,14,0,2,42.42552,1.221277,28.72304,53.679,58.92400000000001,14.1815,30.63512,
ss,1.98,ABC,15,1,0,39.82471,1.220468,23.03637,56.9884,63.375,22.3272,26.4623,
ss,1.98,ABC,16,0,2,37.23287,1.222445,26.22662,55.3939,65.533,28.2424,25.8471,
ss,1.98,ABC,17,0,6,-200.0,,,,,,,measure_failed
ss,1.98,ABC,18,0,1,37.59913,1.213955,17.61835,58.1994,70.041,20.5603,38.42417,
ss,1.98,ABC,19,0,1,40.7064,1.221384,17.72455,55.7218,59.691,18.5206,43.12019,
ss,1.98,ABC,20,1,0,37.9788,1.219026,25.60415,53.8993,69.996,24.3087,26.23973,
ss,1.98,ABC,21,0,3,22.86852,1.209501,34.98563,55.0493,58.05200000000001,18.9966,34.2319,
