corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure
tt,1.8,ABC,0,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,1,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,2,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,3,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,4,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,5,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,6,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,7,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,8,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,9,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,10,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,11,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,12,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,13,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,14,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,15,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,16,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,17,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,18,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,19,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,20,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,21,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,22,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,23,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,24,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,25,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,26,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,27,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,28,0,6,-200.0,,,,,,,timeout
tt,1.8,ABC,29,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,0,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,1,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,2,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,3,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,4,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,5,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,6,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,7,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,8,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,9,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,10,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,11,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,12,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,13,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,14,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,15,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,16,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,17,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,18,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,19,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,20,1,0,42.46078,1.220442,7.230366,50.9216,80.9736,28.5592,34.60136,
tt,1.8,ACO,21,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,22,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,23,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,24,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,25,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,26,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,27,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,28,0,6,-200.0,,,,,,,timeout
tt,1.8,ACO,29,0,6,-200.0,,,,,,,timeout
tt,1.8,FA,0,0,6,-200.0,,,,,,,timeout
tt,1.8,FA,1,0,1,19.54133,1.2184,24.98557,33.1671,84.9559,22.5193,39.49312,
tt,1.8,FA,2,1,0,20.17896,1.2184,24.37374,53.0057,62.057,25.2267,37.88451,
tt,1.8,FA,3,0,6,-200.0,,,,,,,timeout
tt,1.8,FA,4,0,6,-200.0,,,,,,,timeout
tt,1.8,FA,5,0,6,-200.0,,,,,,,timeout
tt,1.8,FA,6,0,1,22.05263,1.2184,117.173,50.0,85.2698,34.9191,30.75143,
tt,1.8,FA,7,0,1,16.22836,1.2184,5244.599,50.0,82.8896,27.6266,30.48739,
tt,1.8,FA,8,1,0,20.22083,1.2184,25.9655,50.0,86.6329,36.8399,25.78577,
tt,1.8,FA,9,0,1,23.32711,1.218401,6231.982,50.1021,83.7468,31.9717,28.37225,
tt,1.8,FA,10,0,1,21.57226,1.218401,25.99035,46.0842,85.7715,25.5032,35.41709,
tt,1.8,FA,11,0,1,23.61347,1.218401,4685.988,50.4046,82.3006,21.7034,53.44895,
tt,1.8,FA,12,0,2,12.97418,1.096705,25.99522,7.56873,107.6271,40.0961,21.20888,
tt,1.8,FA,13,0,2,24.96087,1.218398,5981.052,50.8589,83.7225,22.4413,44.39914,
tt,1.8,FA,14,1,0,19.59531,1.2184,22.35918,50.0,64.18,30.8501,33.14668,
tt,1.8,FA,15,1,0,22.31573,1.2184,20.96639,50.0,62.43300000000001,26.2867,42.74514,
tt,1.8,FA,16,0,1,18.76934,1.2184,25.93565,42.7459,67.429,38.7063,21.69027,
tt,1.8,FA,17,0,1,20.89056,1.2184,161.2099,50.3313,85.2326,24.7165,53.22686,
tt,1.8,FA,18,0,1,24.63845,1.218402,234.3706,50.2197,81.4252,18.8309,48.86156,
tt,1.8,FA,19,1,0,24.88724,1.2214,21.90234,50.7642,82.277,21.1136,36.71291,
