lambda,case,run,algo,best_fitness,PSRR_DB,penalty,is_feasible,runtime_sec
10.0,base,0,ABC,-116.05865699132715,116.05865699132715,0,1,13.512495899980422
10.0,base,0,GWO,-115.80721014909128,115.80721014909128,0,1,16.23313770000823
10.0,base,0,FA,-116.03160551437713,116.03160551437713,0,1,45.68600149999838
10.0,base,0,PSO,-115.72853316484941,115.72853316484941,0,1,10.649640000017826
10.0,base,0,GA,-116.09397354312247,116.09397354312247,0,1,21.990409399964847
10.0,base,0,ACO,-109.98251720775758,109.98251720775758,0,1,20.10877040005289
10.0,base,1,ABC,-110.285602660346,110.285602660346,0,1,22.060695299995132
10.0,base,1,GWO,-109.82346457734324,109.82346457734324,0,1,17.039820199948736
10.0,base,1,FA,-110.25777917682403,110.25777917682403,0,1,44.877584699948784
10.0,base,1,PSO,-109.4928206548903,109.4928206548903,0,1,11.804413800011389
10.0,base,1,GA,-110.29300249055208,110.29300249055208,0,1,21.91778090002481
10.0,base,1,ACO,-109.84371267502951,109.84371267502951,0,1,21.178799899993464
10.0,base,2,ABC,-110.12394531120898,110.12394531120898,0,1,21.62392560002627
10.0,base,2,GWO,-97.38239327885037,97.38239327885037,0,1,3.5284166999626905
10.0,base,2,FA,-104.18876811294551,104.18876811294551,0,1,8.673286399978679
10.0,base,2,PSO,-110.18331186684763,110.18331186684763,0,1,2.190587399993092
10.0,base,2,GA,-109.9190781789534,109.9190781789534,0,1,4.343340000021271
10.0,base,2,ACO,-110.18271448078127,110.18271448078127,0,1,3.951750800013542
10.0,base,3,ABC,-111.3411465952162,111.3411465952162,0,1,3.9488035999820568
10.0,base,3,GWO,-109.9323177887187,109.9323177887187,0,1,3.5770985999843106
10.0,base,3,FA,-111.1349038529802,111.1349038529802,0,1,9.249862500000745
10.0,base,3,PSO,-111.56339332198795,111.56339332198795,0,1,2.211536399961915
10.0,base,3,GA,-111.44860039980742,111.44860039980742,0,1,4.487171499989927
10.0,base,3,ACO,-111.56332057750188,111.56332057750188,0,1,4.036001400032546
10.0,base,4,ABC,-98.4006322796024,98.4006322796024,0,1,3.973580199992284
10.0,base,4,GWO,-86.36658318358982,96.36658318358982,1,0,3.6083228000206873
10.0,base,4,FA,-83.21549721425063,93.21549721425063,1,0,9.045288200024515
10.0,base,4,PSO,-97.46429540584607,107.46429540584607,1,0,2.2161922000232153
