lambda,case,algo,success_rate,mean_fitness,median_fitness,avg_rank,n
10.0,base,ABC,0.9333333333333333,-105.51137596834613,-107.8696383391046,2.4,30
10.0,base,ACO,0.5,-98.72355312103258,-96.13965003154811,3.2333333333333334,30
10.0,base,FA,0.6333333333333333,-100.98989220656598,-104.93673007051973,4.233333333333333,30
10.0,base,GA,0.7,-103.31280566127624,-107.87291160202071,3.0,30
10.0,base,GWO,0.43333333333333335,-95.08274937576606,-90.94729187099851,5.1,30
10.0,base,PSO,0.7666666666666667,-103.60578100230178,-107.62261823171434,3.033333333333333,30
10.0,hard,ABC,0.5333333333333333,-98.98464265728505,-102.55471574063806,2.2333333333333334,30
10.0,hard,ACO,0.3,-92.05871472307744,-89.03383434084489,3.283333333333333,30
10.0,hard,FA,0.26666666666666666,-92.91367101200497,-96.59042744936932,4.05,30
10.0,hard,GA,0.3,-96.92505018410067,-102.4121158764174,3.1333333333333333,30
10.0,hard,GWO,0.1,-86.78392508824021,-82.54940393046067,5.166666666666667,30
10.0,hard,PSO,0.23333333333333334,-95.52239686885831,-100.0200115995332,3.1333333333333333,30
10.0,highdim,ABC,1.0,-106.49568481361817,-107.21662917729901,1.5666666666666667,30
10.0,highdim,ACO,0.2,-93.10898522009477,-86.61448470923789,3.933333333333333,30
10.0,highdim,FA,0.1,-89.24646885573569,-85.0122159665489,5.6,30
10.0,highdim,GA,0.6666666666666666,-102.8820228616335,-106.75225709068047,2.433333333333333,30
10.0,highdim,GWO,0.1,-91.23135116380283,-86.3360431985763,4.7,30
10.0,highdim,PSO,0.7,-103.77268421599565,-106.46136224669856,2.7666666666666666,30
100.0,base,ABC,0.9333333333333333,-99.47927369318886,-107.88692476994939,2.1666666666666665,30
100.0,base,ACO,0.5333333333333333,-57.366862379306625,-104.32516279953535,3.1333333333333333,30
100.0,base,FA,0.5333333333333333,-56.43911020580308,-99.57952149300752,4.666666666666667,30
100.0,base,GA,0.7,-76.10806797599486,-107.42505142635213,2.966666666666667,30
100.0,base,GWO,0.4,-40.19889344135563,-5.392690133793309,4.966666666666667,30
100.0,base,PSO,0.8,-82.34899740529005,-107.62262217345894,3.1,30
100.0,hard,ABC,0.6,-54.1901900085253,-99.34888859595401,2.4,30
100.0,hard,ACO,0.3333333333333333,13.432369095297329,48.61909909240119,3.1166666666666667,30
100.0,hard,FA,0.23333333333333334,23.414018312376886,49.15299936526273,4.416666666666667,30
100.0,hard,GA,0.36666666666666664,-6.218258734774107,-8.018266287406341,2.966666666666667,30
100.0,hard,GWO,0.13333333333333333,52.357250288149416,99.77270146220425,5.1,30
100.0,hard,PSO,0.23333333333333334,6.613159232111661,-8.862836041966112,3.0,30
100.0,highdim,ABC,0.9333333333333333,-99.57234124849906,-107.77453081433288,1.4666666666666666,30
100.0,highdim,ACO,0.1,-10.467642832584536,3.1847157198983282,4.133333333333334,30
100.0,highdim,FA,0.13333333333333333,-2.4427346968654904,4.341545462278127,5.383333333333334,30
100.0,highdim,GA,0.6666666666666666,-72.81693056530644,-106.77850882775294,2.466666666666667,30
100.0,highdim,GWO,0.1,-10.241824502661101,3.6637397042502613,4.65,30
100.0,highdim,PSO,0.6666666666666666,-72.76616662319051,-106.67044042971115,2.9,30
1000.0,base,ABC,0.8666666666666667,26.86097459224997,-107.97156185750836,2.3,30
1000.0,base,ACO,0.5333333333333333,362.6331376206934,-104.32516279953535,3.1,30
1000.0,base,FA,0.5333333333333333,363.5770245931201,-99.33749953657559,4.633333333333334,30
1000.0,base,GA,0.6666666666666666,227.20038856272674,-107.34247887611876,3.033333333333333,30
1000.0,base,GWO,0.4,499.80110655864434,894.6073098662066,4.933333333333334,30
1000.0,base,PSO,0.8,127.65102171879718,-107.62262217345894,3.0,30
1000.0,hard,ABC,0.6333333333333333,396.41302698356,-100.69363533822762,2.3333333333333335,30
1000.0,hard,ACO,0.3333333333333333,1063.4323690952813,1398.6190990921586,3.183333333333333,30
1000.0,hard,FA,0.23333333333333334,1163.5424287885985,1399.1529993654162,4.45,30
1000.0,hard,GA,0.3333333333333333,827.3707569194531,889.310925352194,2.933333333333333,30
1000.0,hard,GWO,0.13333333333333333,1432.3572502881495,1899.7727014622042,5.133333333333334,30
1000.0,hard,PSO,0.23333333333333334,1026.6131605141713,891.1371630792546,2.966666666666667,30
1000.0,highdim,ABC,1.0,-106.35708994843004,-107.84191222216569,1.3666666666666667,30
1000.0,highdim,ACO,0.1,799.5323571674155,903.1847157198983,4.1,30
1000.0,highdim,FA,0.13333333333333333,867.5644022293504,904.3415454631267,5.45,30
1000.0,highdim,GA,0.6666666666666666,227.16288063026192,-106.82895375889572,2.466666666666667,30
1000.0,highdim,GWO,0.1,799.7581754973388,903.6637397042502,4.616666666666666,30
1000.0,highdim,PSO,0.6666666666666666,227.23383337688625,-106.67044042971115,3.0,30
10000.0,base,ABC,0.9333333333333333,560.2593516682743,-108.09593306233428,2.2333333333333334,30
10000.0,base,ACO,0.5333333333333333,4562.633137620694,-104.32516279953535,3.1333333333333333,30
10000.0,base,FA,0.5,4896.625227714047,4896.386404063946,4.65,30
10000.0,base,GA,0.7,2893.8606085970914,-107.42505142635213,3.0,30
10000.0,base,GWO,0.4,5899.801106558644,9894.607309866205,4.95,30
10000.0,base,PSO,0.8,2227.6510217187983,-107.62262217345894,3.033333333333333,30
10000.0,hard,ABC,0.5666666666666667,5562.106403086123,-100.12851457569215,2.466666666666667,30
10000.0,hard,ACO,0.3333333333333333,11563.4323690953,14898.61909909244,3.15,30
