dim,pop,budget,seed_base,run,algo,best_fitness,is_feasible,penalty,PSRR_DB
12,40,150000,42,0,ABC,-116.09809531011298,1,0,116.09809531011298
12,40,150000,42,0,GWO,-104.97267187183058,1,0,104.97267187183058
12,40,150000,42,0,FA,-114.92840826489889,1,0,114.92840826489889
12,40,150000,42,0,PSO,-115.69578488702875,1,0,115.69578488702875
12,40,150000,42,0,GA,-116.0425241148285,1,0,116.0425241148285
12,40,150000,42,0,ACO,-109.98251756921051,1,0,109.98251756921051
12,40,150000,42,1,ABC,-110.2911746823488,1,0,110.2911746823488
12,40,150000,42,1,GWO,-104.26400790478885,1,0,104.26400790478885
12,40,150000,42,1,FA,-110.27444988515802,1,0,110.27444988515802
12,40,150000,42,1,PSO,-109.4928212645697,1,0,109.4928212645697
12,40,150000,42,1,GA,-110.25584715437682,1,0,110.25584715437682
12,40,150000,42,1,ACO,-109.84381488726756,1,0,109.84381488726756
12,40,150000,42,2,ABC,-110.07747200849052,1,0,110.07747200849052
12,40,150000,42,2,GWO,-94.16274207877862,1,0,94.16274207877862
12,40,150000,42,2,FA,-107.96115962635842,1,0,107.96115962635842
12,40,150000,42,2,PSO,-109.95589724018733,1,0,109.95589724018733
12,40,150000,42,2,GA,-110.14477549787739,1,0,110.14477549787739
12,40,150000,42,2,ACO,-110.1820682126521,1,0,110.1820682126521
12,40,150000,42,3,ABC,-111.2645463036128,1,0,111.2645463036128
12,40,150000,42,3,GWO,-111.37045551922199,1,0,111.37045551922199
12,40,150000,42,3,FA,-111.08706566673601,1,0,111.08706566673601
12,40,150000,42,3,PSO,-111.5633984566664,1,0,111.5633984566664
12,40,150000,42,3,GA,-111.48029720215757,1,0,111.48029720215757
12,40,150000,42,3,ACO,-111.56332951505343,1,0,111.56332951505343
12,40,150000,42,4,ABC,892.3565685883492,0,1,107.64343141165084
12,40,150000,42,4,GWO,903.7047090609029,0,1,96.2952909390971
12,40,150000,42,4,FA,899.1198004279743,0,1,100.88019957202567
12,40,150000,42,4,PSO,906.0813067741335,0,1,93.91869322586643
12,40,150000,42,4,GA,905.0467244172595,0,1,94.9532755827405
12,40,150000,42,4,ACO,903.6547657879199,0,1,96.34523421208003
12,40,150000,42,5,ABC,-100.73757776983707,1,0,100.73757776983707
12,40,150000,42,5,GWO,903.6657305591162,0,1,96.3342694408838
12,40,150000,42,5,FA,905.029609789044,0,1,94.97039021095603
12,40,150000,42,5,PSO,-101.81071357813194,1,0,101.81071357813194
12,40,150000,42,5,GA,895.8559217336469,0,1,104.1440782663531
12,40,150000,42,5,ACO,903.6328367214555,0,1,96.36716327854444
12,40,150000,42,6,ABC,-102.77485077568063,1,0,102.77485077568063
12,40,150000,42,6,GWO,-90.15111253776487,1,0,90.15111253776487
12,40,150000,42,6,FA,907.2119721972008,0,1,92.78802780279919
12,40,150000,42,6,PSO,-102.27440202846998,1,0,102.27440202846998
12,40,150000,42,6,GA,904.6162802271363,0,1,95.38371977286373
12,40,150000,42,6,ACO,903.6472116235223,0,1,96.35278837647772
12,40,150000,42,7,ABC,-115.29300612166534,1,0,115.29300612166534
12,40,150000,42,7,GWO,888.9966862949461,0,1,111.00331370505387
12,40,150000,42,7,FA,-112.46366037437363,1,0,112.46366037437363
12,40,150000,42,7,PSO,-115.39862772574992,1,0,115.39862772574992
12,40,150000,42,7,GA,-115.33268915041984,1,0,115.33268915041984
12,40,150000,42,7,ACO,-115.40123914761472,1,0,115.40123914761472
12,40,150000,42,8,ABC,-111.38176499475597,1,0,111.38176499475597
12,40,150000,42,8,GWO,895.2033726821031,0,1,104.79662731789686
12,40,150000,42,8,FA,895.2033726821031,0,1,104.79662731789686
12,40,150000,42,8,PSO,-111.38344741638251,1,0,111.38344741638251
12,40,150000,42,8,GA,-111.38316782725296,1,0,111.38316782725296
12,40,150000,42,8,ACO,-110.69745982256792,1,0,110.69745982256792
12,40,150000,42,9,ABC,-108.42994788468053,1,0,108.42994788468053
12,40,150000,42,9,GWO,-93.45732852724332,1,0,93.45732852724332
12,40,150000,42,9,FA,-108.70860269749255,1,0,108.70860269749255
12,40,150000,42,9,PSO,-103.89233959752363,1,0,103.89233959752363
