GAIN_MARGIN_DB,LOOP_GAIN_DB,PHASE_MARGIN_DEG,POWER_UW,PSRR_DB,PSRR_WC_DB,TC,VREF,c_GainMargin_min,c_LoopGain_min,c_PhaseMargin_min,c_Power_max,c_TC_max,c_VREF_max,c_VREF_min,is_feasible,penalty,sim_failure,sim_ok,viol_gain_margin,viol_loop_gain,viol_phase_margin,viol_power,viol_tc,viol_vref,x_iss,x_l_all,x_vbnv,x_w_ncasc,x_w_pass,x_w_pdiff,x_w_pmir
25.8107,49.9232,66.087,49.33328,52.17466,-10.4208,34.82798,1.217064,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,3,,1,0,1,0,0,1,1,10.750657455032835,3.05,1.4425056485791248,26.740000000000002,13.89,22.69,15.575000000000001
29.0121,46.1644,67.82,46.49402,43.09414,7.861376,31.90492,1.217633,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,3,,1,0,1,0,0,1,1,9.75696954909036,1.925,1.610878816649591,1.7349999999999999,39.475,3.585,39.61
19.021,47.3591,70.398,91.50736,64.25339,0.5709936,20.31868,1.226517,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,3,,1,0,1,0,1,0,1,25.28356789443199,5.565,1.5635365757261204,5.885,58.54,11.21,5.11
17.9891,48.8979,57.849000000000004,44.50502,50.88386,-3.84596,30.08122,1.217915,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,4,,1,0,1,1,0,1,1,9.06328212456235,4.670000000000001,1.6156387204906708,9.055,77.565,33.0,39.715
3.58556,52.2488,15.622000000000014,113.0114,65.48445,16.34052,18.0639,1.221589,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,4,,1,1,0,1,1,0,1,32.80654072689559,0.81,0.9107067035988061,2.17,36.78,22.035,2.915
10.5226,35.6787,31.971000000000004,106.4702,44.89708,25.1411,38.96099,1.216135,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,6,,1,1,1,1,1,1,1,30.59840726865405,0.475,1.6474923048189676,10.015,31.23,16.189999999999998,33.31
7.06327,56.9744,30.36699999999999,66.50869,55.17282,9.604516,28.78959,1.218033,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,5,,1,1,0,1,1,1,1,16.701552357620873,1.5699999999999998,1.33872133500607,11.98,51.33,26.095,35.215
22.5623,52.7307,69.037,86.2357,44.17158,-9.83099,19.55002,1.22359,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,2,,1,0,0,0,1,0,1,23.486996704626588,4.535,1.1844355062856018,26.395,68.25999999999999,5.38,5.785
27.6615,43.4313,75.312,69.78474,50.51284,-7.11339,19.49157,1.229436,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,3,,1,0,1,0,1,0,1,17.706679224317647,6.325,1.659203839510356,22.795,98.615,9.68,7.035
8.09885,53.8664,44.822,98.89463,38.31236,9.991258,10.72875,1.228079,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,4,,1,1,0,1,1,0,1,27.82923768364396,1.5799999999999998,1.553543974698658,1.4100000000000001,93.91,18.785,1.17
19.8225,43.6858,54.658,47.6098,51.39042,30.87512,35.81222,1.217123,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,4,,1,0,1,1,0,1,1,10.14901264606252,0.505,1.4384563596457611,1.595,62.235,6.65,31.8
23.1686,52.3688,65.052,49.75524,52.27035,-10.1182,28.77496,1.218652,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,1,,1,0,0,0,0,1,0,10.877689651832716,4.1850000000000005,1.5860405277370049,26.285,67.85,22.185,27.810000000000002
37.8016,36.1611,77.873,23.49779,35.54449,-9.46085,37.90068,1.213059,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,3,,1,0,1,0,0,1,1,1.82654925583534,7.750000000000001,1.4178683944326576,38.78,43.655,16.439999999999998,20.05
11.9192,51.7862,52.001999999999995,104.6823,47.21674,-10.0471,27.16496,1.220824,14.0,50.0,60.0,55.0,26.0,1.2214,1.2184,0,4,,1,1,0,1,1,1,0,29.92429087796785,5.5600000000000005,1.1482979148784247,36.835,93.145,21.555,20.485
